x (nm),y (nm),zpen (mm),Force (N),Freq Shift (Hz)
15.31053,-47.2672,7.872,0.002,-2.8
15.30953,-47.2652,7.862,0.002,-2.801
15.30353,-47.2622,7.828,0.002,-2.793
15.29453,-47.2612,7.775,0.005,-2.808
15.28553,-47.2632,7.771,0,-2.798
15.28453,-47.2642,7.771,0,-2.816
15.28253,-47.2632,7.766,0,-2.8
15.27853,-47.2632,7.761,0,-2.802
15.27653,-47.2642,7.766,-0.001,-2.796
15.27753,-47.2642,7.756,0,-2.799
15.27753,-47.2642,7.742,0,-2.799
15.27653,-47.2562,7.698,0.003,-2.789
15.27453,-47.2502,7.636,0.005,-2.801
15.27453,-47.2472,7.53,0.008,-2.801
15.27553,-47.2492,7.454,0.007,-2.807
15.27553,-47.2532,7.401,0.001,-2.795
15.27653,-47.2542,7.373,0.002,-2.802
15.27653,-47.2572,7.349,0.002,-2.799
15.27653,-47.2582,7.334,0.001,-2.8
15.27653,-47.2602,7.32,0.001,-2.797
15.27753,-47.2612,7.301,0.003,-2.799
15.27753,-47.2652,7.234,0.005,-2.8
15.27753,-47.2662,7.167,0.007,-2.797
15.27753,-47.2682,7.076,0.008,-2.794
15.27853,-47.2702,7.028,0.005,-2.801
15.27853,-47.2722,6.999,0.002,-2.8
15.27853,-47.2742,6.96,0.005,-2.805
15.27853,-47.2752,6.908,0.007,-2.796
15.27853,-47.2802,6.768,0.013,-2.801
15.27653,-47.2872,6.484,0.021,-2.8
15.27553,-47.2942,6.296,0.012,-2.801
15.27653,-47.2972,6.214,0.006,-2.799
15.27653,-47.2972,6.175,0.002,-2.799
15.27653,-47.2952,6.151,0.001,-2.798
15.27653,-47.2952,6.151,0,-2.801
15.27653,-47.2952,6.151,0,-2.799
15.27653,-47.2962,6.146,0,-2.801
15.27653,-47.2972,6.127,0.003,-2.8
15.27653,-47.3012,6.059,0.009,-2.8
15.27653,-47.3102,5.836,0.015,-2.802
15.27553,-47.3162,5.691,0.016,-2.802
15.27453,-47.3232,5.526,0.018,-2.801
15.27553,-47.3292,5.375,0.018,-2.798
15.27653,-47.3472,5.032,0.025,-2.794
15.27353,-47.3582,4.817,0.015,-2.806
15.26853,-47.3752,4.517,0.015,-2.809
15.26453,-47.3792,4.335,0.018,-2.808
15.26253,-47.3792,4.155,0.02,-2.807
15.26353,-47.3782,4.009,0.006,-2.8
15.26553,-47.3782,4.024,-0.005,-2.8
15.26553,-47.3782,4.053,0,-2.797
15.26553,-47.3782,4.053,0,-2.803
15.26653,-47.3792,4.057,0,-2.801
15.26653,-47.3792,4.057,0,-2.797
15.26653,-47.3782,4.053,0.002,-2.798
15.26653,-47.3792,4.043,0,-2.804
15.26653,-47.3792,4.033,0,-2.798
15.26753,-47.3782,4.028,0.002,-2.797
15.26753,-47.3792,4.018,0,-2.792
15.26853,-47.3802,4.028,0,-2.8
15.26853,-47.3802,4.028,0,-2.8
15.26753,-47.3792,4.018,0.001,-2.802
15.26853,-47.3792,4.018,0,-2.8
15.26853,-47.3802,4.023,0,-2.801
15.26853,-47.3792,4.018,0,-2.802
15.26853,-47.3772,3.985,0,-2.795
15.26953,-47.3772,3.985,0,-2.8
15.26953,-47.3772,3.985,0,-2.796
15.26953,-47.3772,3.985,0,-2.804
15.26953,-47.3752,3.975,0.001,-2.799
15.26953,-47.3752,3.946,0.004,-2.802
15.26953,-47.3742,3.917,0.001,-2.8
15.27053,-47.3732,3.912,0,-2.798
15.26953,-47.3712,3.888,0.004,-2.802
15.26953,-47.3692,3.84,0.007,-2.799
15.26953,-47.3692,3.787,0.006,-2.797
15.26953,-47.3682,3.723,0.007,-2.799
15.26953,-47.3682,3.66,0.001,-2.804
15.26953,-47.3682,3.645,0,-2.803
15.26953,-47.3652,3.617,0.002,-2.8
15.26953,-47.3652,3.578,0.006,-2.797
15.26953,-47.3652,3.505,0.009,-2.794
15.26953,-47.3642,3.422,0.01,-2.796
15.26853,-47.3632,3.325,0.011,-2.803
15.26853,-47.3602,3.17,0.01,-2.8
15.26853,-47.3582,3.073,0.01,-2.802
15.26853,-47.3572,2.932,0.013,-2.796
15.26853,-47.3572,2.815,0.01,-2.805
15.26853,-47.3572,2.776,0.009,-2.805
15.26953,-47.3562,2.708,0.005,-2.801
15.27053,-47.3542,2.675,0.001,-2.795
15.27153,-47.3512,2.608,0.004,-2.799
15.27153,-47.3492,2.56,0.005,-2.799
15.27153,-47.3472,2.512,0.004,-2.805
15.27153,-47.3452,2.489,0.004,-2.795
15.27053,-47.3412,2.354,0.01,-2.801
15.27053,-47.3382,2.19,0.017,-2.797
15.27053,-47.3372,1.859,0.019,-2.795
15.27053,-47.3382,1.712,0.012,-2.799
15.27053,-47.3372,1.605,0.012,-2.801
15.27053,-47.3332,1.388,0.014,-2.805
15.27153,-47.3292,1.102,0.026,-2.798
15.27253,-47.3252,0.807,0.028,-2.796
15.27353,-47.3182,0.271,0.033,-2.802
15.27753,-47.3072,-0.542,0.043,-2.805
15.28653,-47.2992,-1.098,0.056,-2.803
15.30053,-47.2922,-1.898,0.074,-2.798
15.31353,-47.2842,-2.97,0.357,-2.797
15.31753,-47.2822,-3.164,0.378,-2.802
15.32053,-47.2832,-3.107,0.341,-2.808
15.31953,-47.2892,-3.319,0.447,-2.806
15.31853,-47.2892,-3.707,0.594,-2.804
15.31953,-47.2892,-4.041,0.702,-2.797
15.31953,-47.2892,-4.341,0.805,-2.8
15.31853,-47.2882,-4.556,0.891,-2.798
15.31753,-47.2882,-4.945,1.045,-2.803
15.30953,-47.2922,-6.34,1.558,-2.806
15.30953,-47.2932,-6.896,1.736,-2.808
15.31253,-47.2932,-7.353,1.879,-2.802
15.31853,-47.2952,-7.79,2.014,-2.797
15.31753,-47.2932,-8.134,2.14,-2.804
15.31453,-47.2882,-8.645,2.35,-2.811
15.31653,-47.2782,-9.639,2.693,-2.807
15.32153,-47.2692,-10.121,2.826,-2.804
15.32453,-47.2662,-10.116,2.798,-2.798
15.32553,-47.2682,-10.046,2.772,-2.8
15.34053,-47.2722,-9.848,2.697,-2.793
15.35053,-47.2782,-9.274,2.429,-2.798
15.34953,-47.2982,-7.9,1.849,-2.799
15.33353,-47.3292,-4.978,0.765,-2.802
15.32153,-47.3442,-3.052,0.141,-2.797
15.30653,-47.3482,-1.989,-0.079,-2.8
15.26853,-47.3602,-1.253,-0.064,-2.803
15.23453,-47.3682,-0.218,-0.139,-2.8
15.18253,-47.3772,2.044,-0.212,-2.799
15.13753,-47.3842,4.265,-0.236,-2.798
15.08753,-47.3882,6.333,-0.204,-2.802
15.01153,-47.3822,8.56,-0.121,-2.8
14.95053,-47.3772,9.586,-0.08,-2.802
14.89553,-47.3722,10.217,-0.066,-2.8
14.83153,-47.3632,10.826,-0.057,-2.8
14.74953,-47.3442,11.465,-0.042,-2.798
14.68453,-47.3262,11.836,-0.033,-2.799
14.55753,-47.2962,12.361,-0.028,-2.799
14.48053,-47.2752,12.589,-0.022,-2.799
14.40953,-47.2552,12.788,-0.022,-2.802
14.34153,-47.2312,12.881,-0.005,-2.799
14.25253,-47.2002,12.834,0.008,-2.8
14.18753,-47.1812,12.796,0.006,-2.797
14.12753,-47.1662,12.703,0.012,-2.805
14.04953,-47.1382,12.532,0.018,-2.802
13.97453,-47.1102,12.307,0.013,-2.802
13.92353,-47.0992,12.22,0.005,-2.8
13.85653,-47.0952,12.201,0,-2.797
13.79553,-47.0902,12.182,0.004,-2.8
13.73353,-47.0812,12.106,0.007,-2.798
13.69953,-47.0762,12.063,0.005,-2.805
13.66853,-47.0692,12.038,0.003,-2.808
13.63853,-47.0612,11.994,0.004,-2.808
13.60653,-47.0532,11.891,0.011,-2.803
13.57753,-47.0432,11.759,0.012,-2.797
13.55353,-47.0392,11.689,0.007,-2.794
13.49753,-47.0472,11.721,-0.004,-2.797
13.44253,-47.0562,11.661,0.01,-2.806
13.41453,-47.0592,11.501,0.021,-2.801
13.38453,-47.0582,11.21,0.032,-2.801
13.36153,-47.0542,10.95,0.031,-2.796
13.33753,-47.0542,10.672,0.027,-2.802
13.30353,-47.0602,10.316,0.026,-2.801
13.25953,-47.0712,9.946,0.008,-2.803
13.23553,-47.0782,9.77,0.007,-2.8
13.21253,-47.0802,9.481,0.032,-2.798
13.19853,-47.0772,9.167,0.035,-2.794
13.19553,-47.0752,8.854,0.022,-2.801
13.19653,-47.0832,8.479,0.014,-2.793
13.19453,-47.0922,8.296,0.017,-2.797
13.19353,-47.0982,8.122,0.021,-2.798
13.19253,-47.1012,7.991,0.017,-2.804
13.19253,-47.1052,7.854,0.014,-2.807
13.19053,-47.1162,7.741,0.005,-2.79
13.17853,-47.1332,7.834,-0.007,-2.804
13.16253,-47.1432,7.905,-0.004,-2.793
13.14953,-47.1502,7.928,-0.002,-2.809
13.14453,-47.1562,7.966,-0.005,-2.798
13.14353,-47.1692,8.076,-0.011,-2.801
13.14253,-47.1782,8.152,-0.006,-2.802
13.14053,-47.1922,8.172,0.002,-2.798
13.13853,-47.2052,8.221,-0.008,-2.807
13.13253,-47.2262,8.385,-0.015,-2.805
13.11653,-47.2492,8.561,-0.015,-2.804
13.09153,-47.2692,8.715,-0.014,-2.801
13.06753,-47.2822,8.824,-0.012,-2.806
13.04053,-47.2922,8.963,-0.013,-2.797
13.00953,-47.2962,9.129,-0.007,-2.799
12.99653,-47.2912,9.114,0.003,-2.799
12.98853,-47.2772,8.985,0.009,-2.802
12.98353,-47.2692,8.916,0,-2.795
12.97953,-47.2712,8.945,-0.001,-2.785
12.97053,-47.2682,8.935,0.003,-2.793
12.96653,-47.2602,8.895,0.005,-2.799
12.96153,-47.2572,8.866,0,-2.798
12.94653,-47.2552,8.871,0,-2.799
12.93353,-47.2532,8.861,0,-2.797
12.92653,-47.2512,8.856,0.001,-2.802
12.92453,-47.2502,8.866,0,-2.804
12.92553,-47.2512,8.88,0,-2.797
12.92553,-47.2512,8.88,0,-2.802
12.92553,-47.2482,8.865,0.002,-2.798
12.92653,-47.2432,8.835,0.005,-2.81
12.92853,-47.2302,8.741,0.005,-2.794
12.92953,-47.2252,8.711,0.002,-2.8
12.92853,-47.2242,8.706,0,-2.795
12.92953,-47.2202,8.71,0.001,-2.812
12.93053,-47.2172,8.714,-0.003,-2.805
12.93153,-47.2142,8.723,-0.001,-2.806
12.93053,-47.2132,8.728,0,-2.798
12.92853,-47.2112,8.756,-0.004,-2.802
12.92253,-47.2112,8.799,-0.005,-2.798
12.91453,-47.2162,8.863,-0.005,-2.802
12.90153,-47.2192,8.883,0,-2.797
12.88153,-47.2222,8.894,-0.001,-2.802
12.84053,-47.2282,8.926,-0.002,-2.798
12.80853,-47.2282,8.923,0.001,-2.801
12.79153,-47.2232,8.88,0,-2.797
12.78053,-47.2182,8.802,0.006,-2.797
12.77553,-47.2182,8.793,0,-2.799
12.76353,-47.2222,8.828,-0.001,-2.798
12.74753,-47.2202,8.814,0.003,-2.806
12.73653,-47.2192,8.771,0.006,-2.803
12.72453,-47.2192,8.709,0.002,-2.798
12.72753,-47.2202,8.723,-0.001,-2.795
12.72953,-47.2212,8.728,0,-2.797
12.72953,-47.2212,8.728,0,-2.802
12.72953,-47.2212,8.728,0,-2.801
12.72953,-47.2242,8.734,-0.001,-2.797
12.72953,-47.2282,8.754,-0.002,-2.802
12.72853,-47.2282,8.754,0,-2.806
12.72953,-47.2272,8.749,0.002,-2.808
12.72853,-47.2282,8.754,0,-2.805
12.72853,-47.2292,8.759,-0.001,-2.801
12.72853,-47.2302,8.769,-0.002,-2.798
12.72653,-47.2312,8.774,-0.001,-2.793
12.72453,-47.2372,8.814,-0.003,-2.798
12.72353,-47.2412,8.854,-0.002,-2.8
12.72453,-47.2422,8.859,0,-2.803
12.72353,-47.2422,8.859,0,-2.798
12.71753,-47.2472,8.895,-0.004,-2.797
12.71253,-47.2512,8.925,-0.004,-2.799
12.71053,-47.2552,8.95,-0.002,-2.803
12.70853,-47.2582,8.971,-0.003,-2.808
12.70953,-47.2542,8.945,0.002,-2.81
12.70953,-47.2532,8.94,0,-2.796
12.70953,-47.2522,8.935,0,-2.799
12.70853,-47.2522,8.935,0,-2.792
12.70853,-47.2532,8.94,0,-2.807
12.70853,-47.2532,8.94,0,-2.797
12.70853,-47.2542,8.945,0,-2.806
12.70853,-47.2542,8.945,0,-2.798
12.70753,-47.2532,8.94,0.001,-2.803
12.70553,-47.2522,8.94,0.003,-2.797
12.70553,-47.2502,8.901,0,-2.798
12.70553,-47.2502,8.901,0,-2.804
12.70553,-47.2492,8.91,0,-2.797
12.70553,-47.2502,8.901,0.003,-2.799
12.70453,-47.2502,8.901,0,-2.799
12.70253,-47.2502,8.882,0.003,-2.803
12.70053,-47.2502,8.872,0,-2.804
12.70153,-47.2512,8.877,0,-2.803
12.70053,-47.2502,8.872,0,-2.804
12.69853,-47.2502,8.858,0.003,-2.805
