x (nm),y (nm),zpen (mm),F (N),zstm (nm)
-392.282,-380.652,-27.976,2.108,-11.401
-392.297,-380.65,-28.042,2.131,-11.401
-392.309,-380.651,-28.129,2.146,-11.401
-392.331,-380.652,-28.484,2.243,-11.401
-392.343,-380.652,-28.729,2.285,-11.401
-392.373,-380.653,-29.355,2.462,-11.401
-392.395,-380.65,-29.979,2.623,-11.401
-392.406,-380.646,-30.333,2.687,-11.4
-392.406,-380.639,-30.345,2.643,-11.4
-392.406,-380.641,-30.324,2.663,-11.4
-392.406,-380.64,-30.353,2.68,-11.4
-392.413,-380.641,-30.416,2.736,-11.4
-392.424,-380.638,-30.403,2.727,-11.4
-392.428,-380.635,-30.328,2.688,-11.4
-392.424,-380.636,-30.187,2.659,-11.4
-392.418,-380.641,-29.967,2.6,-11.4
-392.42,-380.646,-29.921,2.603,-11.4
-392.431,-380.646,-30.066,2.632,-11.4
-392.446,-380.637,-30.254,2.666,-11.4
-392.443,-380.638,-30.308,2.684,-11.4
-392.443,-380.639,-30.374,2.703,-11.4
-392.444,-380.639,-30.47,2.758,-11.4
-392.451,-380.645,-30.932,2.918,-11.4
-392.449,-380.638,-31.541,3.12,-11.4
-392.44,-380.629,-31.786,3.164,-11.4
-392.442,-380.628,-31.878,3.212,-11.4
-392.448,-380.626,-32.07,3.27,-11.4
-392.449,-380.628,-32.354,3.374,-11.4
-392.448,-380.628,-32.37,3.333,-11.4
-392.443,-380.626,-32.17,3.253,-11.4
-392.436,-380.628,-32.016,3.223,-11.4
-392.446,-380.628,-32.12,3.271,-11.4
-392.456,-380.626,-32.174,3.287,-11.4
-392.455,-380.624,-32.099,3.255,-11.4
-392.452,-380.622,-32.065,3.234,-11.4
-392.452,-380.623,-32.12,3.24,-11.4
-392.454,-380.623,-32.061,3.247,-11.399
-392.454,-380.62,-31.932,3.206,-11.4
-392.454,-380.619,-31.698,3.114,-11.4
-392.457,-380.628,-31.028,2.873,-11.4
-392.461,-380.644,-30.47,2.704,-11.4
-392.463,-380.656,-29.953,2.563,-11.399
-392.466,-380.671,-29.578,2.483,-11.4
-392.467,-380.674,-29.261,2.411,-11.4
-392.466,-380.673,-29.111,2.386,-11.399
-392.464,-380.671,-28.758,2.275,-11.399
-392.463,-380.668,-28.21,2.141,-11.399
-392.464,-380.673,-27.844,2.072,-11.4
-392.462,-380.683,-27.501,2.014,-11.4
-392.461,-380.684,-27.36,1.986,-11.4
-392.46,-380.683,-27.323,1.976,-11.4
-392.458,-380.679,-27.282,1.984,-11.4
-392.457,-380.677,-27.274,1.972,-11.4
-392.458,-380.675,-27.266,1.979,-11.4
-392.457,-380.675,-27.225,1.965,-11.4
-392.449,-380.68,-27.187,1.958,-11.4
-392.435,-380.683,-27.129,1.946,-11.4
-392.422,-380.684,-27.067,1.933,-11.4
-392.422,-380.683,-27.055,1.941,-11.4
-392.423,-380.687,-27.042,1.929,-11.4
-392.42,-380.698,-27.019,1.925,-11.4
-392.401,-380.702,-27.019,1.929,-11.4
-392.38,-380.703,-27.057,1.942,-11.4
-392.362,-380.704,-27.082,1.955,-11.4
-392.348,-380.704,-27.091,1.962,-11.4
-392.318,-380.711,-27.157,1.976,-11.4
-392.312,-380.711,-27.161,1.972,-11.4
-392.311,-380.712,-27.145,1.966,-11.4
-392.312,-380.713,-27.14,1.965,-11.401
-392.314,-380.714,-27.136,1.958,-11.401
-392.315,-380.716,-27.127,1.934,-11.401
-392.312,-380.717,-27.127,1.928,-11.401
-392.308,-380.716,-27.119,1.927,-11.401
-392.302,-380.715,-27.128,1.93,-11.401
-392.297,-380.716,-27.128,1.937,-11.401
-392.29,-380.718,-27.124,1.928,-11.401
-392.277,-380.717,-27.012,1.901,-11.401
-392.267,-380.716,-26.926,1.884,-11.401
-392.258,-380.715,-26.852,1.878,-11.401
-392.261,-380.714,-26.781,1.871,-11.401
-392.262,-380.715,-26.765,1.865,-11.401
-392.262,-380.714,-26.752,1.86,-11.401
-392.261,-380.712,-26.678,1.844,-11.401
-392.258,-380.709,-26.58,1.835,-11.401
-392.258,-380.709,-26.522,1.824,-11.401
-392.257,-380.709,-26.522,1.813,-11.401
-392.256,-380.71,-26.522,1.802,-11.401
-392.255,-380.709,-26.485,1.789,-11.401
-392.254,-380.708,-26.431,1.781,-11.401
-392.253,-380.707,-26.394,1.771,-11.401
-392.25,-380.704,-26.266,1.741,-11.401
-392.25,-380.703,-26.076,1.723,-11.401
-392.25,-380.701,-25.986,1.7,-11.401
-392.251,-380.699,-25.837,1.687,-11.401
-392.252,-380.702,-25.841,1.703,-11.401
-392.249,-380.702,-25.828,1.69,-11.401
-392.248,-380.698,-25.829,1.684,-11.401
-392.24,-380.69,-25.848,1.694,-11.401
-392.237,-380.689,-25.857,1.695,-11.401
-392.222,-380.684,-25.884,1.693,-11.401
-392.212,-380.682,-25.897,1.691,-11.401
-392.209,-380.683,-25.897,1.704,-11.401
-392.203,-380.681,-25.84,1.683,-11.401
-392.2,-380.68,-25.815,1.692,-11.401
-392.191,-380.673,-25.681,1.664,-11.401
-392.189,-380.67,-25.608,1.629,-11.401
-392.189,-380.669,-25.571,1.634,-11.401
-392.189,-380.666,-25.526,1.626,-11.401
-392.19,-380.66,-25.478,1.613,-11.401
-392.19,-380.652,-25.463,1.622,-11.401
-392.188,-380.648,-25.452,1.616,-11.401
-392.188,-380.646,-25.432,1.612,-11.401
-392.187,-380.645,-25.407,1.616,-11.401
-392.187,-380.644,-25.358,1.608,-11.401
-392.187,-380.643,-25.329,1.601,-11.401
-392.184,-380.645,-25.226,1.572,-11.401
-392.183,-380.648,-25.036,1.538,-11.401
-392.183,-380.648,-24.925,1.51,-11.402
-392.182,-380.643,-24.778,1.483,-11.402
-392.181,-380.64,-24.734,1.484,-11.401
-392.182,-380.639,-24.751,1.488,-11.401
-392.183,-380.64,-24.746,1.498,-11.401
-392.183,-380.642,-24.737,1.495,-11.401
-392.183,-380.644,-24.733,1.499,-11.401
-392.185,-380.643,-24.733,1.503,-11.401
-392.186,-380.647,-24.678,1.493,-11.401
-392.186,-380.646,-24.666,1.499,-11.401
-392.186,-380.647,-24.662,1.486,-11.401
-392.186,-380.647,-24.662,1.486,-11.401
-392.186,-380.646,-24.637,1.473,-11.401
-392.186,-380.645,-24.654,1.482,-11.401
-392.185,-380.645,-24.671,1.486,-11.401
-392.186,-380.647,-24.691,1.492,-11.401
-392.186,-380.648,-24.727,1.5,-11.401
-392.186,-380.649,-24.752,1.506,-11.401
-392.186,-380.649,-24.781,1.513,-11.401
-392.185,-380.648,-24.797,1.515,-11.401
-392.177,-380.645,-24.873,1.529,-11.401
-392.17,-380.641,-24.919,1.536,-11.401
-392.163,-380.635,-24.999,1.554,-11.401
-392.161,-380.63,-25.033,1.549,-11.401
-392.158,-380.631,-25.046,1.555,-11.401
-392.144,-380.632,-25.038,1.559,-11.401
-392.132,-380.631,-25.051,1.559,-11.401
-392.12,-380.629,-25.064,1.573,-11.402
-392.093,-380.621,-25.112,1.583,-11.402
-392.076,-380.613,-25.151,1.578,-11.402
-392.064,-380.607,-25.206,1.594,-11.402
-392.052,-380.6,-25.265,1.603,-11.402
-392.043,-380.599,-25.262,1.604,-11.402
-392.042,-380.596,-25.275,1.598,-11.402
-392.041,-380.594,-25.279,1.597,-11.402
-392.035,-380.592,-25.292,1.605,-11.402
-392.027,-380.588,-25.309,1.609,-11.402
-392.014,-380.578,-25.368,1.62,-11.402
-392,-380.573,-25.394,1.624,-11.402
-391.991,-380.572,-25.403,1.624,-11.402
-391.98,-380.57,-25.403,1.631,-11.402
-391.98,-380.569,-25.42,1.639,-11.402
-391.98,-380.568,-25.424,1.64,-11.402
-391.978,-380.567,-25.44,1.642,-11.402
-391.977,-380.565,-25.449,1.641,-11.402
-391.977,-380.565,-25.461,1.646,-11.402
-391.975,-380.565,-25.478,1.649,-11.402
-391.971,-380.565,-25.465,1.642,-11.402
-391.972,-380.565,-25.465,1.638,-11.402
-391.974,-380.564,-25.47,1.636,-11.402
-391.976,-380.562,-25.486,1.638,-11.402
-391.974,-380.561,-25.507,1.644,-11.402
-391.971,-380.56,-25.523,1.653,-11.402
-391.966,-380.557,-25.54,1.655,-11.402
-391.965,-380.554,-25.549,1.663,-11.402
-391.965,-380.554,-25.577,1.673,-11.402
-391.965,-380.554,-25.577,1.666,-11.402
-391.965,-380.554,-25.59,1.666,-11.402
-391.965,-380.554,-25.577,1.657,-11.402
-391.964,-380.553,-25.594,1.66,-11.402
-391.964,-380.554,-25.577,1.663,-11.402
-391.967,-380.556,-25.569,1.663,-11.402
-391.968,-380.557,-25.606,1.665,-11.402
-391.967,-380.56,-25.609,1.664,-11.402
-391.966,-380.558,-25.589,1.675,-11.402
-391.966,-380.557,-25.593,1.653,-11.402
-391.964,-380.555,-25.602,1.657,-11.402
-391.965,-380.554,-25.606,1.66,-11.402
-391.965,-380.554,-25.606,1.663,-11.402
-391.964,-380.553,-25.594,1.662,-11.402
-391.961,-380.553,-25.598,1.658,-11.402
-391.957,-380.552,-25.602,1.666,-11.402
-391.957,-380.552,-25.602,1.675,-11.402
-391.957,-380.553,-25.615,1.676,-11.402
-391.954,-380.555,-25.594,1.676,-11.402
-391.953,-380.555,-25.594,1.664,-11.402
-391.939,-380.558,-25.594,1.664,-11.402
-391.933,-380.557,-25.598,1.671,-11.402
-391.926,-380.556,-25.594,1.67,-11.402
-391.915,-380.551,-25.632,1.681,-11.403
-391.906,-380.548,-25.661,1.683,-11.402
-391.883,-380.548,-25.674,1.673,-11.402
-391.856,-380.549,-25.67,1.699,-11.402
-391.828,-380.551,-25.666,1.698,-11.402
-391.812,-380.554,-25.666,1.712,-11.403
-391.79,-380.557,-25.654,1.71,-11.403
-391.779,-380.557,-25.658,1.708,-11.403
-391.766,-380.558,-25.662,1.708,-11.403
-391.761,-380.559,-25.662,1.695,-11.403
-391.753,-380.561,-25.674,1.689,-11.403
-391.735,-380.564,-25.687,1.693,-11.403
-391.721,-380.562,-25.699,1.688,-11.403
-391.702,-380.562,-25.712,1.708,-11.403
-391.688,-380.559,-25.729,1.704,-11.403
-391.671,-380.557,-25.745,1.707,-11.404
-391.629,-380.555,-25.758,1.71,-11.404
-391.611,-380.554,-25.771,1.711,-11.404
-391.6,-380.551,-25.787,1.719,-11.404
-391.599,-380.551,-25.787,1.706,-11.405
-391.599,-380.549,-25.779,1.68,-11.405
-391.596,-380.547,-25.787,1.683,-11.405
-391.591,-380.548,-25.787,1.667,-11.405
-391.584,-380.549,-25.8,1.679,-11.405
-391.574,-380.552,-25.795,1.678,-11.405
-391.559,-380.553,-25.8,1.672,-11.405
-391.544,-380.555,-25.8,1.673,-11.405
-391.532,-380.556,-25.8,1.683,-11.405
-391.517,-380.56,-25.795,1.682,-11.405
-391.483,-380.564,-25.783,1.683,-11.405
-391.466,-380.568,-25.791,1.678,-11.405
-391.45,-380.571,-25.787,1.674,-11.406
-391.45,-380.573,-25.795,1.682,-11.406
-391.449,-380.579,-25.803,1.661,-11.406
-391.439,-380.587,-25.835,1.65,-11.406
-391.431,-380.592,-25.864,1.644,-11.406
-391.421,-380.601,-25.879,1.648,-11.406
-391.409,-380.606,-25.867,1.65,-11.407
-391.399,-380.608,-25.863,1.655,-11.407
-391.396,-380.609,-25.875,1.643,-11.407
-391.39,-380.612,-25.895,1.647,-11.407
-391.382,-380.613,-25.895,1.643,-11.407
-391.376,-380.614,-25.895,1.637,-11.407
-391.366,-380.619,-25.883,1.633,-11.407
-391.337,-380.63,-25.857,1.627,-11.407
-391.307,-380.637,-25.845,1.631,-11.407
-391.289,-380.642,-25.836,1.63,-11.407
-391.269,-380.645,-25.832,1.635,-11.407
-391.261,-380.645,-25.836,1.631,-11.407
-391.256,-380.643,-25.845,1.64,-11.408
-391.24,-380.642,-25.853,1.636,-11.408
-391.235,-380.643,-25.853,1.618,-11.408
-391.228,-380.643,-25.841,1.616,-11.408
-391.221,-380.643,-25.845,1.628,-11.408
-391.209,-380.643,-25.837,1.621,-11.408
-391.199,-380.643,-25.841,1.613,-11.408
-391.185,-380.64,-25.854,1.619,-11.408
-391.175,-380.638,-25.866,1.622,-11.408
-391.166,-380.635,-25.879,1.627,-11.408
-391.158,-380.634,-25.887,1.649,-11.408
-391.144,-380.63,-25.892,1.646,-11.408
-391.138,-380.629,-25.896,1.639,-11.408
-391.124,-380.625,-25.917,1.649,-11.408
-391.105,-380.613,-25.934,1.65,-11.408
-391.097,-380.611,-25.946,1.65,-11.408
-391.086,-380.608,-25.959,1.652,-11.408
-391.078,-380.605,-25.959,1.65,-11.408
-391.055,-380.601,-25.98,1.665,-11.408
-391.041,-380.601,-25.971,1.682,-11.408
-391.033,-380.599,-25.951,1.678,-11.408
-391.023,-380.597,-25.976,1.693,-11.408
-391.022,-380.596,-25.98,1.691,-11.408
-391.02,-380.594,-25.988,1.689,-11.408
-391.02,-380.591,-25.996,1.685,-11.408
-391.02,-380.588,-26.021,1.693,-11.408
-391.013,-380.585,-26.033,1.689,-11.408
-391.007,-380.585,-26.037,1.698,-11.408
-391.004,-380.585,-26.037,1.694,-11.409
-390.998,-380.583,-26.045,1.698,-11.409
-390.992,-380.584,-26.045,1.695,-11.409
-390.985,-380.584,-26.045,1.695,-11.408
-390.983,-380.585,-26.058,1.707,-11.408
-390.984,-380.586,-26.053,1.706,-11.408
-390.984,-380.586,-26.066,1.713,-11.408
-390.983,-380.588,-26.074,1.718,-11.408
-390.974,-380.59,-26.07,1.71,-11.408
-390.961,-380.593,-26.066,1.709,-11.408
-390.935,-380.595,-26.094,1.725,-11.409
-390.91,-380.598,-26.078,1.722,-11.409
-390.852,-380.605,-26.07,1.724,-11.409
-390.821,-380.608,-26.07,1.725,-11.409
-390.812,-380.608,-26.086,1.757,-11.409
-390.799,-380.608,-26.074,1.767,-11.408
-390.8,-380.608,-26.062,1.767,-11.409
-390.801,-380.608,-26.062,1.78,-11.409
-390.803,-380.608,-26.062,1.769,-11.409
-390.804,-380.608,-26.062,1.753,-11.409
-390.801,-380.607,-26.037,1.74,-11.409
-390.79,-380.602,-26.058,1.738,-11.409
-390.782,-380.596,-26.078,1.736,-11.409
-390.772,-380.59,-26.102,1.75,-11.409
-390.769,-380.589,-26.107,1.748,-11.409
-390.765,-380.587,-26.115,1.76,-11.409
-390.757,-380.585,-26.094,1.76,-11.409
-390.745,-380.586,-26.094,1.763,-11.409
-390.725,-380.589,-26.09,1.77,-11.409
-390.714,-380.591,-26.086,1.769,-11.409
-390.706,-380.591,-26.086,1.772,-11.409
-390.698,-380.591,-26.09,1.771,-11.41
-390.683,-380.59,-26.094,1.768,-11.41
-390.66,-380.591,-26.098,1.75,-11.41
-390.638,-380.591,-26.131,1.755,-11.41
-390.607,-380.592,-26.135,1.768,-11.41
-390.568,-380.595,-26.119,1.775,-11.41
-390.551,-380.596,-26.119,1.782,-11.41
-390.489,-380.602,-26.111,1.797,-11.41
-390.453,-380.606,-26.102,1.801,-11.41
-390.415,-380.609,-26.098,1.818,-11.41
-390.398,-380.611,-26.082,1.82,-11.41
-390.393,-380.612,-26.078,1.825,-11.41
-390.383,-380.614,-26.074,1.809,-11.411
-390.379,-380.614,-26.074,1.803,-11.411
-390.377,-380.613,-26.05,1.794,-11.411
-390.373,-380.612,-26.013,1.789,-11.411
-390.372,-380.612,-26.001,1.785,-11.411
-390.371,-380.612,-26.013,1.785,-11.411
-390.366,-380.613,-26.013,1.777,-11.411
-390.339,-380.614,-26.013,1.779,-11.411
-390.325,-380.614,-26.013,1.788,-11.411
-390.32,-380.616,-26.009,1.8,-11.411
-390.318,-380.617,-26.005,1.799,-11.411
-390.318,-380.617,-26.005,1.801,-11.411
-390.313,-380.618,-25.989,1.799,-11.411
-390.31,-380.616,-25.98,1.808,-11.411
-390.306,-380.615,-25.984,1.804,-11.411
-390.3,-380.614,-25.976,1.803,-11.411
-390.289,-380.613,-25.952,1.799,-11.411
-390.271,-380.613,-25.928,1.789,-11.411
-390.263,-380.613,-25.915,1.801,-11.411
-390.257,-380.612,-25.879,1.8,-11.411
-390.257,-380.612,-25.879,1.8,-11.411
-390.255,-380.612,-25.879,1.804,-11.411
-390.247,-380.612,-25.879,1.785,-11.411
-390.219,-380.613,-25.867,1.779,-11.411
-390.205,-380.613,-25.867,1.778,-11.411
-390.194,-380.613,-25.842,1.783,-11.411
-390.176,-380.612,-25.818,1.796,-11.411
-390.16,-380.612,-25.793,1.795,-11.411
-390.146,-380.611,-25.769,1.808,-11.411
-390.137,-380.612,-25.753,1.811,-11.411
-390.128,-380.614,-25.749,1.815,-11.411
-390.116,-380.614,-25.737,1.819,-11.411
-390.097,-380.615,-25.732,1.817,-11.411
-390.075,-380.618,-25.712,1.815,-11.411
-390.056,-380.622,-25.7,1.812,-11.411
-390.046,-380.623,-25.696,1.818,-11.411
-390.03,-380.623,-25.696,1.826,-11.411
-390.022,-380.623,-25.684,1.828,-11.411
-390.016,-380.624,-25.667,1.821,-11.411
-390.002,-380.624,-25.667,1.833,-11.411
-389.99,-380.624,-25.655,1.831,-11.411
-389.975,-380.629,-25.639,1.829,-11.411
-389.972,-380.633,-25.626,1.834,-11.411
-389.96,-380.631,-25.59,1.842,-11.411
-389.947,-380.631,-25.578,1.837,-11.411
-389.928,-380.631,-25.578,1.849,-11.411
-389.914,-380.633,-25.574,1.855,-11.411
-389.897,-380.634,-25.557,1.857,-11.411
-389.882,-380.636,-25.549,1.849,-11.411
-389.879,-380.637,-25.545,1.849,-11.411
-389.875,-380.637,-25.545,1.836,-11.411
-389.865,-380.637,-25.545,1.843,-11.411
-389.851,-380.637,-25.545,1.845,-11.411
-389.834,-380.637,-25.545,1.842,-11.411
-389.81,-380.638,-25.545,1.855,-11.411
-389.79,-380.638,-25.545,1.855,-11.411
-389.783,-380.638,-25.545,1.862,-11.412
-389.774,-380.639,-25.541,1.865,-11.412
-389.743,-380.641,-25.561,1.857,-11.412
-389.703,-380.643,-25.565,1.855,-11.412
-389.669,-380.648,-25.561,1.847,-11.412
-389.631,-380.657,-25.544,1.845,-11.412
-389.621,-380.662,-25.499,1.854,-11.413
-389.618,-380.662,-25.499,1.857,-11.414
-389.604,-380.661,-25.527,1.832,-11.415
-389.574,-380.661,-25.568,1.78,-11.415
-389.571,-380.662,-25.605,1.742,-11.415
-389.578,-380.661,-25.609,1.73,-11.416
-389.577,-380.661,-25.649,1.709,-11.417
-389.577,-380.659,-25.67,1.683,-11.416
-389.57,-380.657,-25.731,1.656,-11.416
-389.56,-380.656,-25.747,1.66,-11.416
-389.55,-380.656,-25.735,1.666,-11.416
-389.529,-380.657,-25.731,1.671,-11.417
-389.523,-380.657,-25.743,1.673,-11.417
-389.523,-380.657,-25.743,1.658,-11.417
-389.523,-380.656,-25.747,1.643,-11.418
-389.519,-380.653,-25.756,1.635,-11.418
-389.501,-380.651,-25.845,1.593,-11.418
-389.498,-380.65,-25.874,1.589,-11.419
-389.495,-380.65,-25.874,1.589,-11.419
-389.481,-380.652,-25.935,1.596,-11.419
-389.467,-380.652,-25.976,1.562,-11.419
-389.449,-380.652,-26.029,1.579,-11.42
-389.425,-380.653,-26.135,1.596,-11.42
-389.404,-380.655,-26.22,1.602,-11.421
-389.367,-380.661,-26.334,1.597,-11.422
-389.331,-380.665,-26.452,1.596,-11.423
-389.307,-380.669,-26.534,1.535,-11.425
-389.268,-380.67,-26.73,1.538,-11.427
-389.25,-380.67,-26.824,1.447,-11.428
-389.252,-380.667,-27.041,1.394,-11.429
-389.253,-380.66,-27.478,1.392,-11.43
-389.253,-380.657,-27.682,1.327,-11.432
-389.252,-380.658,-27.817,1.343,-11.432
-389.249,-380.659,-27.924,1.289,-11.432
-389.246,-380.66,-28.071,1.308,-11.432
-389.244,-380.658,-28.186,1.313,-11.432
-389.242,-380.658,-28.186,1.312,-11.432
-389.239,-380.657,-28.202,1.311,-11.432
-389.236,-380.658,-28.227,1.314,-11.432
-389.22,-380.658,-28.403,1.339,-11.432
-389.2,-380.655,-28.534,1.353,-11.432
-389.186,-380.655,-28.616,1.361,-11.432
-389.167,-380.654,-28.739,1.383,-11.433
-389.153,-380.655,-28.899,1.406,-11.434
-389.148,-380.658,-29.038,1.403,-11.434
-389.14,-380.659,-29.227,1.403,-11.435
-389.137,-380.651,-29.431,1.381,-11.435
-389.131,-380.647,-29.456,1.365,-11.435
-389.12,-380.646,-29.443,1.347,-11.435
-389.11,-380.646,-29.456,1.36,-11.435
-389.103,-380.646,-29.456,1.352,-11.435
-389.089,-380.647,-29.476,1.352,-11.436
-389.085,-380.648,-29.53,1.357,-11.436
-389.083,-380.65,-29.645,1.374,-11.436
-389.075,-380.649,-29.867,1.404,-11.436
-389.067,-380.65,-29.916,1.402,-11.436
-389.06,-380.65,-29.904,1.399,-11.436
-389.057,-380.649,-29.904,1.404,-11.436
-389.056,-380.648,-29.896,1.416,-11.435
-389.052,-380.647,-29.896,1.418,-11.436
-389.047,-380.647,-29.896,1.421,-11.436
-389.04,-380.648,-29.892,1.419,-11.435
-389.036,-380.649,-29.888,1.419,-11.436
-389.028,-380.648,-29.888,1.427,-11.435
-389.009,-380.65,-29.921,1.431,-11.435
-388.997,-380.65,-29.917,1.445,-11.435
-388.988,-380.651,-29.913,1.46,-11.435
-388.978,-380.651,-29.926,1.476,-11.434
-388.972,-380.651,-29.938,1.53,-11.434
-388.969,-380.65,-29.938,1.528,-11.434
-388.961,-380.651,-29.922,1.54,-11.433
-388.95,-380.652,-29.914,1.566,-11.433
-388.945,-380.654,-29.894,1.579,-11.433
-388.94,-380.654,-29.877,1.576,-11.433
-388.934,-380.654,-29.865,1.58,-11.432
-388.923,-380.652,-29.84,1.61,-11.432
-388.9,-380.655,-29.783,1.636,-11.432
-388.891,-380.66,-29.751,1.633,-11.431
-388.888,-380.66,-29.722,1.659,-11.431
-388.878,-380.658,-29.673,1.685,-11.43
-388.872,-380.659,-29.599,1.672,-11.43
-388.872,-380.661,-29.538,1.755,-11.43
-388.872,-380.661,-29.414,1.723,-11.429
-388.868,-380.666,-29.259,1.768,-11.429
-388.866,-380.666,-29.259,1.767,-11.429
-388.866,-380.665,-29.247,1.764,-11.429
-388.868,-380.665,-29.247,1.77,-11.429
-388.867,-380.666,-29.23,1.767,-11.429
-388.864,-380.665,-29.218,1.785,-11.429
-388.857,-380.664,-29.181,1.772,-11.428
-388.847,-380.664,-29.136,1.765,-11.428
-388.84,-380.664,-29.107,1.765,-11.429
-388.83,-380.662,-29.053,1.764,-11.428
-388.823,-380.663,-29.008,1.745,-11.427
-388.815,-380.663,-28.922,1.783,-11.427
-388.811,-380.665,-28.861,1.795,-11.427
-388.808,-380.666,-28.816,1.821,-11.427
-388.808,-380.667,-28.758,1.812,-11.426
-388.806,-380.666,-28.705,1.827,-11.426
-388.799,-380.666,-28.594,1.83,-11.426
-388.792,-380.666,-28.52,1.83,-11.426
-388.782,-380.668,-28.459,1.831,-11.426
-388.762,-380.667,-28.426,1.83,-11.426
-388.751,-380.666,-28.385,1.83,-11.425
-388.75,-380.665,-28.319,1.846,-11.425
-388.749,-380.663,-28.229,1.839,-11.424
-388.737,-380.66,-28.114,1.921,-11.424
-388.728,-380.657,-28.065,1.907,-11.424
-388.72,-380.655,-27.888,1.883,-11.423
-388.718,-380.656,-27.831,1.879,-11.423
-388.716,-380.655,-27.819,1.917,-11.423
-388.707,-380.654,-27.778,1.908,-11.423
-388.698,-380.652,-27.7,1.908,-11.423
-388.695,-380.651,-27.647,1.935,-11.423
-388.685,-380.651,-27.536,1.915,-11.422
-388.674,-380.651,-27.503,1.912,-11.422
-388.669,-380.651,-27.487,1.947,-11.422
-388.66,-380.653,-27.409,1.927,-11.422
-388.637,-380.657,-27.278,1.96,-11.422
-388.612,-380.663,-27.249,1.949,-11.421
-388.566,-380.67,-27.183,1.955,-11.421
-388.553,-380.673,-27.171,1.973,-11.421
-388.501,-380.679,-27.089,2.01,-11.42
-388.467,-380.683,-27.035,2.026,-11.42
-388.421,-380.69,-26.899,2.035,-11.42
-388.387,-380.693,-26.763,2.045,-11.42
-388.354,-380.696,-26.532,2.025,-11.419
-388.343,-380.697,-26.388,2.013,-11.419
-388.332,-380.701,-26.256,2.033,-11.42
-388.321,-380.701,-26.199,2.028,-11.42
-388.313,-380.701,-26.194,2.026,-11.42
-388.316,-380.699,-26.145,2.002,-11.42
-388.315,-380.699,-26.133,1.978,-11.42
-388.311,-380.698,-26.133,1.969,-11.421
-388.292,-380.696,-26.121,1.962,-11.421
-388.288,-380.695,-26.121,1.946,-11.42
-388.287,-380.695,-26.121,1.948,-11.42
-388.286,-380.695,-26.121,1.964,-11.42
-388.277,-380.692,-26.072,1.95,-11.421
-388.274,-380.691,-26.06,1.945,-11.421
-388.27,-380.689,-26.052,1.934,-11.421
-388.262,-380.686,-26.044,1.928,-11.421
-388.246,-380.685,-26.056,1.936,-11.421
-388.194,-380.685,-26.059,1.937,-11.421
-388.154,-380.689,-26.07,1.945,-11.421
-388.12,-380.691,-26.061,1.951,-11.422
-388.082,-380.692,-26.052,1.949,-11.422
-388.027,-380.694,-26.042,1.932,-11.422
-388.015,-380.695,-26.05,1.932,-11.423
-387.988,-380.696,-26.049,1.936,-11.423
-387.951,-380.698,-26.077,1.882,-11.424
-387.907,-380.698,-26.055,1.873,-11.425
-387.889,-380.697,-26.047,1.848,-11.425
-387.881,-380.698,-26.055,1.819,-11.425
-387.872,-380.697,-26.079,1.809,-11.425
-387.869,-380.697,-26.108,1.794,-11.426
-387.867,-380.695,-26.112,1.78,-11.426
-387.862,-380.694,-26.112,1.735,-11.426
-387.854,-380.694,-26.137,1.74,-11.426
-387.852,-380.694,-26.149,1.754,-11.426
-387.848,-380.692,-26.154,1.755,-11.426
-387.843,-380.69,-26.158,1.751,-11.426
-387.828,-380.687,-26.162,1.757,-11.426
-387.79,-380.684,-26.149,1.756,-11.426
-387.752,-380.687,-26.172,1.771,-11.426
-387.704,-380.692,-26.129,1.754,-11.427
-387.67,-380.695,-26.111,1.758,-11.427
-387.649,-380.697,-26.106,1.769,-11.427
-387.619,-380.699,-26.108,1.752,-11.427
-387.613,-380.698,-26.121,1.759,-11.428
-387.591,-380.697,-26.124,1.745,-11.428
-387.574,-380.696,-26.132,1.733,-11.428
-387.558,-380.695,-26.14,1.732,-11.428
-387.514,-380.699,-26.361,1.785,-11.428
-387.499,-380.699,-26.434,1.78,-11.428
-387.484,-380.699,-26.426,1.791,-11.428
-387.481,-380.702,-26.383,1.782,-11.428
-387.481,-380.706,-26.37,1.781,-11.429
-387.481,-380.706,-26.37,1.782,-11.429
-387.479,-380.703,-26.391,1.778,-11.428
-387.473,-380.702,-26.379,1.784,-11.428
-387.468,-380.702,-26.362,1.782,-11.429
-387.463,-380.701,-26.362,1.784,-11.429
-387.461,-380.702,-26.358,1.778,-11.429
-387.453,-380.702,-26.354,1.777,-11.429
-387.45,-380.702,-26.349,1.767,-11.429
-387.443,-380.702,-26.345,1.762,-11.429
-387.431,-380.702,-26.336,1.769,-11.429
-387.422,-380.7,-26.336,1.764,-11.429
-387.418,-380.7,-26.336,1.773,-11.429
-387.415,-380.7,-26.332,1.78,-11.429
-387.41,-380.698,-26.324,1.777,-11.429
-387.403,-380.696,-26.311,1.767,-11.429
-387.381,-380.696,-26.31,1.775,-11.429
-387.35,-380.693,-26.285,1.772,-11.429
-387.294,-380.697,-26.286,1.79,-11.429
-387.249,-380.704,-26.228,1.783,-11.429
-387.231,-380.706,-26.222,1.818,-11.429
-387.218,-380.706,-26.213,1.814,-11.429
-387.189,-380.706,-26.191,1.817,-11.429
-387.17,-380.706,-26.178,1.82,-11.429
-387.163,-380.705,-26.173,1.82,-11.429
-387.16,-380.704,-26.161,1.823,-11.429
-387.158,-380.704,-26.161,1.824,-11.429
