x (nm),y (nm),zpen (mm),F (N),zstm (nm)
-391.404,-380.791,-12.606,1.072,-11.406
-391.389,-380.79,-12.616,1.077,-11.407
-391.376,-380.788,-12.632,1.04,-11.407
-391.36,-380.785,-12.698,1.03,-11.407
-391.349,-380.782,-12.714,0.982,-11.407
-391.346,-380.782,-12.731,0.971,-11.408
-391.346,-380.783,-12.771,0.987,-11.408
-391.346,-380.783,-12.782,0.956,-11.408
-391.336,-380.782,-12.833,0.941,-11.408
-391.32,-380.781,-12.848,0.976,-11.408
-391.301,-380.778,-12.857,0.976,-11.408
-391.279,-380.777,-12.873,0.977,-11.408
-391.27,-380.778,-12.873,0.989,-11.408
-391.26,-380.779,-12.844,1,-11.408
-391.243,-380.779,-12.866,1.002,-11.408
-391.244,-380.779,-12.866,0.989,-11.408
-391.242,-380.78,-12.861,0.993,-11.408
-391.233,-380.781,-12.861,0.983,-11.408
-391.217,-380.781,-12.871,0.978,-11.408
-391.211,-380.78,-12.877,0.992,-11.408
-391.209,-380.781,-12.877,0.989,-11.408
-391.204,-380.779,-12.87,0.996,-11.409
-391.184,-380.779,-12.88,1,-11.408
-391.172,-380.777,-12.908,0.985,-11.408
-391.158,-380.776,-12.935,1.018,-11.409
-391.137,-380.775,-12.933,1.03,-11.409
-391.114,-380.772,-12.931,1.028,-11.409
-391.069,-380.771,-12.968,1.059,-11.409
-391.044,-380.773,-12.968,1.058,-11.409
-391.026,-380.772,-12.966,1.089,-11.409
-390.992,-380.77,-12.935,1.11,-11.409
-390.974,-380.767,-12.939,1.124,-11.409
-390.953,-380.766,-12.881,1.147,-11.409
-390.934,-380.767,-12.858,1.142,-11.409
-390.913,-380.769,-12.858,1.139,-11.409
-390.897,-380.77,-12.858,1.131,-11.409
-390.877,-380.772,-12.858,1.133,-11.409
-390.873,-380.773,-12.869,1.14,-11.409
-390.872,-380.773,-12.869,1.138,-11.409
-390.864,-380.773,-12.858,1.16,-11.409
-390.85,-380.773,-12.823,1.169,-11.409
-390.824,-380.774,-12.726,1.121,-11.409
-390.796,-380.779,-12.688,1.132,-11.409
-390.78,-380.781,-12.683,1.124,-11.409
-390.751,-380.784,-12.683,1.132,-11.409
-390.716,-380.786,-12.626,1.139,-11.41
-390.699,-380.787,-12.614,1.132,-11.41
-390.684,-380.788,-12.614,1.132,-11.41
-390.675,-380.789,-12.626,1.141,-11.41
-390.664,-380.791,-12.621,1.136,-11.41
-390.654,-380.792,-12.621,1.156,-11.41
-390.631,-380.792,-12.586,1.156,-11.41
-390.618,-380.794,-12.581,1.154,-11.41
-390.596,-380.796,-12.564,1.146,-11.41
-390.585,-380.796,-12.564,1.171,-11.41
-390.553,-380.796,-12.535,1.156,-11.41
-390.534,-380.795,-12.5,1.136,-11.41
-390.507,-380.792,-12.435,1.124,-11.41
-390.5,-380.792,-12.424,1.119,-11.41
-390.481,-380.793,-12.424,1.152,-11.41
-390.459,-380.792,-12.389,1.147,-11.41
-390.44,-380.788,-12.341,1.131,-11.41
-390.408,-380.776,-12.29,1.105,-11.41
-390.354,-380.763,-12.25,1.104,-11.41
-390.314,-380.758,-12.161,1.108,-11.411
-390.305,-380.756,-12.143,1.124,-11.411
-390.276,-380.749,-12.151,1.118,-11.411
-390.268,-380.743,-12.165,1.121,-11.411
-390.266,-380.74,-12.163,1.137,-11.411
-390.258,-380.738,-12.145,1.119,-11.411
-390.249,-380.735,-12.144,1.109,-11.411
-390.236,-380.729,-12.158,1.14,-11.411
-390.231,-380.724,-12.138,1.141,-11.411
-390.214,-380.718,-12.056,1.133,-11.411
-390.192,-380.715,-11.947,1.082,-11.411
-390.177,-380.714,-11.924,1.091,-11.411
-390.159,-380.71,-11.9,1.133,-11.411
-390.151,-380.709,-11.894,1.121,-11.411
-390.119,-380.701,-11.957,1.135,-11.411
-390.088,-380.698,-11.961,1.115,-11.411
-390.083,-380.697,-11.966,1.137,-11.411
-390.078,-380.696,-11.954,1.156,-11.411
-390.078,-380.697,-11.966,1.198,-11.411
-390.077,-380.7,-11.939,1.211,-11.411
-390.07,-380.7,-11.939,1.172,-11.411
-390.048,-380.699,-11.944,1.175,-11.411
-390.033,-380.7,-11.916,1.199,-11.411
-390.023,-380.701,-11.911,1.212,-11.411
-390.01,-380.703,-11.917,1.203,-11.411
-389.994,-380.705,-11.896,1.187,-11.411
-389.98,-380.708,-11.897,1.203,-11.411
-389.973,-380.711,-11.887,1.217,-11.411
-389.964,-380.714,-11.86,1.234,-11.411
-389.94,-380.714,-11.86,1.232,-11.411
-389.9,-380.716,-11.855,1.277,-11.411
-389.883,-380.718,-11.834,1.265,-11.411
-389.866,-380.721,-11.807,1.288,-11.411
-389.849,-380.724,-11.78,1.272,-11.412
-389.815,-380.727,-11.781,1.284,-11.412
-389.803,-380.727,-11.793,1.266,-11.412
-389.795,-380.728,-11.804,1.276,-11.412
-389.787,-380.728,-11.804,1.28,-11.412
-389.777,-380.729,-11.816,1.272,-11.412
-389.767,-380.728,-11.816,1.27,-11.412
-389.758,-380.728,-11.816,1.272,-11.412
-389.729,-380.727,-11.821,1.269,-11.412
-389.685,-380.729,-11.839,1.254,-11.412
-389.647,-380.732,-11.84,1.257,-11.413
-389.612,-380.735,-11.825,1.283,-11.413
-389.578,-380.736,-11.831,1.277,-11.414
-389.556,-380.736,-11.843,1.262,-11.415
-389.518,-380.739,-11.884,1.234,-11.415
-389.502,-380.744,-12.056,1.088,-11.416
-389.494,-380.744,-12.191,1.147,-11.417
-389.479,-380.745,-12.367,1.094,-11.418
-389.483,-380.745,-12.367,1,-11.419
-389.487,-380.743,-12.502,0.811,-11.419
-389.487,-380.741,-12.805,0.926,-11.42
-389.485,-380.737,-12.945,0.909,-11.42
-389.483,-380.737,-12.961,0.863,-11.42
-389.483,-380.736,-12.95,0.883,-11.42
-389.484,-380.738,-12.956,0.887,-11.42
-389.484,-380.739,-12.991,0.898,-11.42
-389.483,-380.739,-13.019,0.893,-11.42
-389.482,-380.741,-13.054,0.901,-11.42
-389.476,-380.741,-13.082,0.916,-11.42
-389.468,-380.74,-13.139,0.938,-11.42
-389.448,-380.74,-13.235,0.981,-11.42
-389.44,-380.741,-13.27,0.985,-11.42
-389.428,-380.742,-13.349,0.985,-11.421
-389.424,-380.741,-13.394,1.009,-11.421
-389.415,-380.739,-13.484,0.894,-11.422
-389.4,-380.735,-13.946,1.073,-11.422
