Experiment	bias spectroscopy	
-446.00004E-3	-96.879955E-12	1.5775095E+0	1.5605621E+0	-446.00001E-3	-730.40786E-9	-446.37332E-9	-76.753238E-9	87.543861E+0	545.99592E-15	0.0000000E+0	3.3270002E-3	624.84208E-15	2.5034441E-12	-99.357599E-12	1.5774947E+0	1.5606149E+0	-446.00001E-3	-730.40786E-9	-446.37332E-9	-76.753238E-9	-31.962873E+0	532.71748E-15	0.0000000E+0	3.3270002E-3	492.14013E-15	2.4951343E-12
-440.50002E-3	-95.930319E-12	1.5775115E+0	1.5605663E+0	-440.50002E-3	-730.40786E-9	-446.37332E-9	-76.753238E-9	-31.636181E+0	359.60758E-15	0.0000000E+0	3.3270002E-3	730.85651E-15	2.4849946E-12	-98.697335E-12	1.5775005E+0	1.5606152E+0	-440.50002E-3	-730.40786E-9	-446.37332E-9	-76.753238E-9	-83.952469E+0	640.65273E-15	0.0000000E+0	3.3270002E-3	602.83034E-15	2.5555111E-12
-435.00003E-3	-95.226306E-12	1.5775045E+0	1.5605654E+0	-435.00003E-3	-730.40786E-9	-446.37332E-9	-76.753238E-9	37.434498E+0	644.05328E-15	0.0000000E+0	3.3270002E-3	811.86051E-15	2.4803840E-12	-98.115738E-12	1.5774949E+0	1.5606185E+0	-435.00003E-3	-730.40786E-9	-446.37332E-9	-76.753238E-9	-15.485642E+0	544.01785E-15	0.0000000E+0	3.3270002E-3	913.51839E-15	2.5417281E-12
-429.50004E-3	-94.510365E-12	1.5774976E+0	1.5605661E+0	-429.50001E-3	-730.40786E-9	-446.37332E-9	-76.753238E-9	15.889607E+0	416.45585E-15	0.0000000E+0	3.3270002E-3	940.04654E-15	2.4562958E-12	-96.949504E-12	1.5774939E+0	1.5606152E+0	-429.50001E-3	-730.40786E-9	-446.37332E-9	-76.753238E-9	-62.641712E+0	672.38240E-15	0.0000000E+0	3.3270002E-3	959.61141E-15	2.4821859E-12
-424.00002E-3	-93.533618E-12	1.5775006E+0	1.5605601E+0	-424.00002E-3	-730.40786E-9	-446.37332E-9	-76.753238E-9	-18.782072E+0	501.72518E-15	0.0000000E+0	3.3270002E-3	1.0003707E-12	2.4372143E-12	-95.499671E-12	1.5774908E+0	1.5606147E+0	-424.00002E-3	-730.40786E-9	-446.37332E-9	-76.753238E-9	-25.273785E+0	537.94106E-15	0.0000000E+0	3.3270002E-3	1.0032730E-12	2.5177705E-12
-418.50001E-3	-92.085325E-12	1.5775050E+0	1.5605633E+0	-418.50001E-3	-730.40786E-9	-446.37332E-9	-76.753238E-9	53.911320E+0	377.72202E-15	0.0000000E+0	3.3270002E-3	1.1577269E-12	2.4909016E-12	-94.452758E-12	1.5774902E+0	1.5606128E+0	-418.50001E-3	-730.40786E-9	-446.37332E-9	-76.753238E-9	59.703648E+0	849.76877E-15	0.0000000E+0	3.3270002E-3	994.35456E-15	2.5015226E-12
-413.00002E-3	-90.656121E-12	1.5775089E+0	1.5605696E+0	-413.00002E-3	-730.40786E-9	-446.37332E-9	-76.753238E-9	-1.2705967E+0	624.48338E-15	0.0000000E+0	3.3270002E-3	1.1340611E-12	2.5424697E-12	-93.307050E-12	1.5774896E+0	1.5606135E+0	-413.00002E-3	-730.40786E-9	-446.37332E-9	-76.753238E-9	49.129543E+0	448.00668E-15	0.0000000E+0	3.3270002E-3	1.1684947E-12	2.4812619E-12
-407.50003E-3	-89.570996E-12	1.5775124E+0	1.5605607E+0	-407.50003E-3	-730.40786E-9	-446.37332E-9	-76.753238E-9	-43.771957E+0	457.90466E-15	0.0000000E+0	3.3270002E-3	1.1140585E-12	2.4095127E-12	-92.159703E-12	1.5774947E+0	1.5606139E+0	-407.50003E-3	-730.40786E-9	-446.37332E-9	-76.753238E-9	-12.322490E+0	430.96996E-15	0.0000000E+0	3.3270002E-3	1.1494069E-12	2.4951005E-12
-402.00001E-3	-88.534395E-12	1.5775133E+0	1.5605603E+0	-402.00001E-3	-730.40786E-9	-446.37332E-9	-76.753238E-9	-19.755966E+0	515.47612E-15	0.0000000E+0	3.3270002E-3	1.2245498E-12	2.4463357E-12	-90.987544E-12	1.5774900E+0	1.5606140E+0	-402.00001E-3	-730.40786E-9	-446.37332E-9	-76.753238E-9	-40.448658E+0	464.74435E-15	0.0000000E+0	3.3270002E-3	1.1623933E-12	2.4355604E-12
-396.50002E-3	-87.410912E-12	1.5775095E+0	1.5605583E+0	-396.50002E-3	-730.40786E-9	-446.37332E-9	-76.753238E-9	58.744793E+0	550.01300E-15	0.0000000E+0	3.3270002E-3	1.2022684E-12	2.4672729E-12	-89.759651E-12	1.5774920E+0	1.5606180E+0	-396.50002E-3	-730.40786E-9	-446.37332E-9	-76.753238E-9	-16.136480E+0	684.14030E-15	0.0000000E+0	3.3270002E-3	1.2338401E-12	2.5815060E-12
-391.00003E-3	-86.356561E-12	1.5775068E+0	1.5605640E+0	-391.00003E-3	-730.40786E-9	-446.37332E-9	-76.753238E-9	-58.199173E+0	396.06025E-15	0.0000000E+0	3.3270002E-3	1.1450130E-12	2.5048401E-12	-88.539440E-12	1.5774899E+0	1.5606157E+0	-391.00003E-3	-730.40786E-9	-446.37332E-9	-76.753238E-9	-29.520248E+0	635.05917E-15	0.0000000E+0	3.3270002E-3	1.2812868E-12	2.5095629E-12
-385.50001E-3	-84.986476E-12	1.5775077E+0	1.5605590E+0	-385.50001E-3	-730.40786E-9	-446.37332E-9	-76.753238E-9	-33.297607E+0	425.51059E-15	0.0000000E+0	3.3270002E-3	1.1966917E-12	2.5077620E-12	-87.048292E-12	1.5774907E+0	1.5606190E+0	-385.50001E-3	-730.40786E-9	-446.37332E-9	-76.753238E-9	46.908783E+0	452.88927E-15	0.0000000E+0	3.3270002E-3	1.1966747E-12	2.4697798E-12
-380.00003E-3	-83.546114E-12	1.5775108E+0	1.5605581E+0	-380.00003E-3	-730.40786E-9	-446.37332E-9	-76.753238E-9	4.3894773E+0	440.44805E-15	0.0000000E+0	3.3270002E-3	1.2188330E-12	2.5902145E-12	-85.836692E-12	1.5774990E+0	1.5606139E+0	-380.00003E-3	-730.40786E-9	-446.37332E-9	-76.753238E-9	-67.720634E+0	444.78706E-15	0.0000000E+0	3.3270002E-3	1.2235851E-12	2.4696887E-12
-374.50004E-3	-81.885873E-12	1.5775152E+0	1.5605600E+0	-374.50001E-3	-730.40786E-9	-446.37332E-9	-76.753238E-9	58.044834E+0	478.82716E-15	0.0000000E+0	3.3270002E-3	1.3759476E-12	2.5557156E-12	-84.569685E-12	1.5774882E+0	1.5606099E+0	-374.50001E-3	-730.40786E-9	-446.37332E-9	-76.753238E-9	-16.863586E+0	645.13309E-15	0.0000000E+0	3.3270002E-3	1.3005632E-12	2.5323053E-12
-369.00002E-3	-80.739915E-12	1.5775123E+0	1.5605637E+0	-369.00002E-3	-730.40786E-9	-446.37332E-9	-76.753238E-9	-49.408386E+0	389.62730E-15	0.0000000E+0	3.3270002E-3	1.2660366E-12	2.4637907E-12	-82.958147E-12	1.5774851E+0	1.5606076E+0	-369.00002E-3	-730.40786E-9	-446.37332E-9	-76.753238E-9	39.259571E+0	394.60224E-15	0.0000000E+0	3.3270002E-3	1.3882191E-12	2.5248928E-12
-363.50003E-3	-79.485418E-12	1.5775073E+0	1.5605619E+0	-363.50003E-3	-730.40786E-9	-446.37332E-9	-76.753238E-9	28.197655E+0	453.22806E-15	0.0000000E+0	3.3270002E-3	1.3055132E-12	2.4625553E-12	-81.327389E-12	1.5774889E+0	1.5606117E+0	-363.50003E-3	-730.40786E-9	-446.37332E-9	-76.753238E-9	27.677929E+0	420.91105E-15	0.0000000E+0	3.3270002E-3	1.4015462E-12	2.5919739E-12
-358.00004E-3	-77.989039E-12	1.5775119E+0	1.5605608E+0	-358.00001E-3	-730.40786E-9	-446.37332E-9	-76.753238E-9	-110.86758E+0	590.71709E-15	0.0000000E+0	3.3270002E-3	1.3375401E-12	2.4977919E-12	-79.943441E-12	1.5774868E+0	1.5606117E+0	-358.00001E-3	-730.40786E-9	-446.37332E-9	-76.753238E-9	-73.386963E+0	479.03760E-15	0.0000000E+0	3.3270002E-3	1.4353822E-12	2.4799700E-12
