x (nm),y (nm),zpen (mm),Force (N),zafm (nm)
11.53,-48.686,-0.022,1.918,2.485
11.532,-48.681,-0.146,1.765,2.483
11.529,-48.678,0.2,2.324,2.485
11.536,-48.672,0.644,1.911,2.486
11.55,-48.667,0.696,2.181,2.486
11.55,-48.665,0.849,2.276,2.485
11.556,-48.663,1.013,2.24,2.487
11.562,-48.658,0.927,2.15,2.485
11.564,-48.651,1.171,2.259,2.482
11.574,-48.644,1.04,2.101,2.487
11.579,-48.636,0.404,1.9,2.486
11.578,-48.627,0.998,2.297,2.485
11.602,-48.623,1.455,2.043,2.488
11.612,-48.613,1.29,2.022,2.488
11.617,-48.605,1.707,2.311,2.487
11.632,-48.604,1.903,2.196,2.488
11.637,-48.6,1.84,2.158,2.486
11.637,-48.597,1.779,2.204,2.486
11.642,-48.594,1.569,2.05,2.486
11.641,-48.592,1.595,2.079,2.486
11.64,-48.589,1.605,2.081,2.486
11.642,-48.587,1.56,2.031,2.488
11.644,-48.583,1.503,2.009,2.487
11.647,-48.582,1.634,2.262,2.489
11.66,-48.578,1.816,2.132,2.489
11.664,-48.576,1.924,2.286,2.489
11.665,-48.573,2.14,2.307,2.486
11.675,-48.569,2.267,2.227,2.488
11.684,-48.554,1.477,2.047,2.487
11.682,-48.551,1.763,2.306,2.488
11.687,-48.551,2.034,1.946,2.49
11.693,-48.551,2.018,2.22,2.488
11.693,-48.55,2.636,2.308,2.49
11.709,-48.552,2.528,2.054,2.488
11.707,-48.546,2.568,2.226,2.489
11.711,-48.548,2.471,2.061,2.487
11.711,-48.543,2.642,2.176,2.49
11.717,-48.538,2.281,2.035,2.491
11.715,-48.533,2.457,2.298,2.491
11.717,-48.532,2.841,2.278,2.491
11.728,-48.532,3.246,2.244,2.491
11.737,-48.528,3.173,2.192,2.49
11.741,-48.523,3.132,2.199,2.489
11.741,-48.523,3.105,2.18,2.488
11.742,-48.519,3.049,2.027,2.49
11.743,-48.513,2.878,1.856,2.492
11.744,-48.507,2.89,2.137,2.49
11.751,-48.505,3.623,2.244,2.492
11.768,-48.503,3.372,2.117,2.491
11.766,-48.501,3.301,2.288,2.493
11.766,-48.499,3.446,2.198,2.492
11.771,-48.501,3.635,2.316,2.49
11.775,-48.495,3.604,2.223,2.49
11.777,-48.492,3.424,2.088,2.491
11.778,-48.49,3.413,2.078,2.492
11.779,-48.488,3.482,2.107,2.491
11.785,-48.484,3.85,2.222,2.492
11.795,-48.482,3.816,2.089,2.492
11.797,-48.481,3.777,2.22,2.493
11.798,-48.478,3.851,2.19,2.492
11.803,-48.476,4.032,2.31,2.489
11.81,-48.472,4.137,2.047,2.492
11.816,-48.466,3.73,1.846,2.492
11.817,-48.454,3.819,2.156,2.491
11.827,-48.454,3.969,2.051,2.495
11.835,-48.449,3.746,2.015,2.49
11.835,-48.446,3.99,2.604,2.491
11.847,-48.446,3.963,1.844,2.492
11.855,-48.438,3.615,2.077,2.49
11.848,-48.436,3.925,2.192,2.491
11.857,-48.44,3.723,1.948,2.489
11.856,-48.436,3.694,2.087,2.488
11.855,-48.432,3.602,1.787,2.491
11.858,-48.429,3.108,1.828,2.489
11.855,-48.426,3.459,2.152,2.489
11.858,-48.426,3.705,1.744,2.492
11.865,-48.426,3.373,1.931,2.491
11.862,-48.423,3.612,2.288,2.488
11.872,-48.425,3.912,2.044,2.49
11.875,-48.423,3.815,1.636,2.488
11.876,-48.419,3.594,2.022,2.486
11.875,-48.414,3.42,1.385,2.49
11.879,-48.41,2.591,1.731,2.489
11.873,-48.403,2.711,2.203,2.489
11.873,-48.396,3.433,1.822,2.489
11.881,-48.395,3.299,1.853,2.488
11.88,-48.39,3.291,1.932,2.489
11.88,-48.388,3.195,1.768,2.487
11.881,-48.389,3.104,1.977,2.488
11.882,-48.388,3.067,1.67,2.489
11.883,-48.383,2.873,1.834,2.49
11.883,-48.378,3.057,1.978,2.489
11.887,-48.378,3.286,2.018,2.489
11.892,-48.376,3.199,1.898,2.487
11.892,-48.373,3.087,2.01,2.489
11.893,-48.369,2.963,1.768,2.489
11.896,-48.366,2.908,2.02,2.488
11.901,-48.363,3.04,1.976,2.488
11.905,-48.361,2.869,1.846,2.487
11.907,-48.354,2.755,2,2.484
11.911,-48.35,2.684,1.75,2.486
11.918,-48.345,2.141,1.626,2.483
11.919,-48.336,1.752,1.961,2.488
11.925,-48.324,1.357,1.63,2.488
11.929,-48.319,1.854,2.127,2.487
11.934,-48.318,2.525,1.926,2.49
11.947,-48.321,2.562,1.851,2.491
11.962,-48.316,2.73,2.223,2.488
11.969,-48.318,3.01,2.361,2.485
11.982,-48.32,2.973,1.918,2.485
11.992,-48.315,2.449,1.695,2.486
11.994,-48.307,1.633,1.974,2.482
11.992,-48.301,1.595,1.952,2.484
11.997,-48.302,1.516,1.472,2.484
12.001,-48.294,1.304,1.795,2.487
12.004,-48.292,1.367,1.846,2.487
12.014,-48.293,1.978,2.075,2.484
12.023,-48.294,2.2,2.047,2.483
12.034,-48.293,1.751,1.713,2.484
12.04,-48.283,1.038,1.88,2.482
12.043,-48.278,0.895,1.98,2.483
12.046,-48.275,0.927,1.689,2.483
12.053,-48.274,0.89,1.726,2.485
12.053,-48.271,0.953,1.82,2.483
12.054,-48.266,1.126,2.066,2.484
12.077,-48.263,0.973,1.797,2.484
12.077,-48.259,1.125,1.907,2.484
12.08,-48.261,1.162,1.819,2.479
12.085,-48.26,1.115,1.833,2.479
12.091,-48.248,-0.095,1.624,2.478
12.086,-48.233,-0.708,1.712,2.481
12.087,-48.227,-0.681,1.624,2.482
12.092,-48.226,-0.313,1.813,2.479
12.097,-48.223,0.107,1.884,2.48
12.104,-48.221,0.002,1.522,2.482
12.109,-48.216,-0.475,1.852,2.476
12.115,-48.215,-0.003,1.87,2.475
12.122,-48.212,-0.6,1.34,2.476
12.119,-48.194,-1.948,1.667,2.477
12.121,-48.185,-1.788,1.644,2.479
12.125,-48.185,-1.589,1.667,2.478
12.125,-48.177,-1.278,1.913,2.476
12.133,-48.177,-1.346,1.786,2.478
12.136,-48.175,-1.576,1.655,2.475
12.136,-48.173,-1.638,1.894,2.475
12.135,-48.169,-1.82,1.462,2.473
12.135,-48.164,-2.09,1.648,2.476
12.136,-48.163,-2.136,1.332,2.473
12.138,-48.162,-2.172,1.804,2.474
12.143,-48.158,-2.448,1.489,2.475
12.143,-48.15,-2.638,1.67,2.476
12.145,-48.149,-2.58,1.694,2.475
12.151,-48.148,-2.391,1.801,2.476
12.161,-48.144,-2.442,1.801,2.474
12.164,-48.141,-2.472,1.533,2.474
12.168,-48.139,-2.669,1.627,2.474
12.173,-48.136,-2.944,1.699,2.475
12.178,-48.131,-2.894,1.758,2.474
12.188,-48.13,-2.81,1.793,2.475
12.197,-48.125,-2.881,1.76,2.472
12.199,-48.123,-2.89,1.855,2.472
12.205,-48.119,-3.19,1.569,2.473
12.211,-48.115,-3.574,1.716,2.474
12.215,-48.109,-3.554,1.738,2.472
12.229,-48.108,-3.314,1.816,2.473
12.236,-48.105,-3.437,1.617,2.474
12.242,-48.1,-3.637,1.777,2.473
12.251,-48.094,-3.41,1.875,2.474
12.26,-48.092,-3.408,1.691,2.473
12.269,-48.088,-3.515,1.885,2.474
12.276,-48.081,-3.552,1.767,2.473
12.285,-48.078,-3.586,1.878,2.474
12.293,-48.076,-3.548,1.725,2.473
12.298,-48.071,-3.535,1.862,2.472
12.301,-48.069,-3.523,1.835,2.471
12.308,-48.059,-3.843,1.699,2.472
12.314,-48.046,-3.979,1.671,2.472
12.324,-48.022,-3.993,1.715,2.472
12.335,-48.013,-3.924,1.769,2.474
12.338,-48.009,-3.88,1.775,2.474
12.34,-48.003,-3.679,1.9,2.472
12.346,-47.998,-3.511,1.882,2.473
12.354,-47.994,-3.637,1.738,2.471
12.359,-47.986,-3.641,1.835,2.472
12.364,-47.982,-3.808,1.596,2.471
12.371,-47.974,-3.893,1.786,2.472
12.375,-47.97,-3.988,1.592,2.473
12.383,-47.964,-4.065,1.854,2.472
12.402,-47.957,-3.788,1.876,2.472
12.412,-47.952,-3.881,1.814,2.475
12.419,-47.944,-3.977,1.792,2.473
12.423,-47.938,-3.7,2.084,2.471
12.431,-47.934,-3.564,1.809,2.472
12.437,-47.928,-4.076,1.659,2.472
12.438,-47.917,-4.261,1.881,2.474
12.443,-47.918,-4.139,1.847,2.472
12.457,-47.913,-3.767,1.96,2.473
12.46,-47.91,-3.703,1.744,2.473
12.47,-47.907,-3.827,1.889,2.471
12.474,-47.904,-3.83,1.87,2.472
12.486,-47.901,-4.077,1.747,2.47
12.49,-47.897,-3.997,1.761,2.472
12.497,-47.894,-4.193,1.511,2.469
12.504,-47.884,-4.266,1.864,2.475
12.512,-47.875,-4.222,1.469,2.471
12.522,-47.866,-3.858,2.073,2.473
12.534,-47.864,-3.765,1.632,2.474
12.542,-47.857,-3.895,1.922,2.471
12.541,-47.854,-3.675,1.91,2.47
12.545,-47.856,-3.732,1.607,2.472
12.553,-47.847,-4.429,1.655,2.469
12.551,-47.838,-4.217,1.414,2.472
12.562,-47.836,-4.509,1.586,2.472
12.561,-47.826,-4.331,1.89,2.472
12.563,-47.825,-4.103,1.807,2.474
12.57,-47.826,-4.089,1.858,2.472
12.573,-47.818,-3.833,1.979,2.471
12.578,-47.819,-3.865,1.835,2.472
12.58,-47.819,-3.945,1.62,2.471
12.584,-47.815,-4.068,1.9,2.474
12.589,-47.812,-4.312,1.728,2.47
12.594,-47.807,-4.156,2.119,2.473
12.609,-47.803,-4.535,1.706,2.471
12.612,-47.789,-4.244,2.038,2.473
12.616,-47.787,-3.96,1.651,2.47
12.644,-47.781,-3.838,1.952,2.472
12.657,-47.778,-4.067,1.606,2.473
12.674,-47.774,-4.199,1.91,2.47
12.693,-47.767,-3.8,1.903,2.474
12.71,-47.767,-4.001,1.537,2.472
12.725,-47.755,-3.969,2.002,2.471
12.735,-47.754,-3.862,1.789,2.473
12.746,-47.751,-4.08,1.763,2.471
12.751,-47.745,-3.994,1.86,2.472
12.752,-47.744,-4.138,1.861,2.471
12.752,-47.74,-4.054,1.815,2.474
12.754,-47.743,-4.092,1.692,2.474
12.757,-47.739,-3.778,1.948,2.474
12.759,-47.74,-3.594,1.923,2.469
12.765,-47.741,-3.579,1.949,2.473
12.768,-47.738,-4.558,1.557,2.472
12.765,-47.724,-4.383,1.953,2.472
12.769,-47.726,-3.779,1.741,2.472
12.782,-47.728,-3.752,1.734,2.472
12.781,-47.716,-4.139,1.798,2.473
12.783,-47.718,-4.146,1.857,2.475
12.786,-47.718,-3.866,1.887,2.47
12.787,-47.718,-3.687,2.067,2.472
12.787,-47.717,-4.261,1.648,2.471
12.788,-47.702,-4.154,1.869,2.473
12.796,-47.703,-4.29,1.703,2.472
12.796,-47.696,-4.197,2.044,2.471
12.799,-47.699,-4.056,1.895,2.472
12.802,-47.698,-4.235,1.787,2.474
12.804,-47.698,-4.21,1.882,2.471
12.808,-47.699,-4.027,2.047,2.471
12.818,-47.702,-4.39,1.746,2.472
12.818,-47.701,-4.563,1.756,2.474
12.821,-47.695,-4.351,1.822,2.472
12.82,-47.691,-4.142,2.098,2.474
12.822,-47.688,-4.129,1.841,2.47
12.823,-47.682,-4.093,2.071,2.472
12.825,-47.683,-4.647,1.811,2.469
12.825,-47.68,-4.369,1.943,2.472
12.831,-47.687,-4.602,1.621,2.472
12.833,-47.682,-4.661,1.955,2.472
12.832,-47.674,-4.318,1.855,2.475
12.835,-47.675,-4.175,1.924,2.472
12.834,-47.67,-3.985,2.191,2.472
12.835,-47.675,-4.14,1.839,2.471
12.836,-47.675,-4.254,1.836,2.472
12.837,-47.678,-4.263,1.809,2.471
12.837,-47.678,-4.248,1.847,2.474
12.837,-47.678,-4.352,1.705,2.473
12.837,-47.672,-3.927,1.79,2.473
12.839,-47.675,-4.011,1.907,2.471
12.838,-47.674,-3.93,1.992,2.473
12.839,-47.677,-4.038,1.708,2.475
12.839,-47.675,-3.951,1.956,2.472
12.838,-47.677,-3.764,2.182,2.47
12.841,-47.679,-3.991,1.799,2.472
12.839,-47.672,-4.52,1.753,2.471
12.836,-47.666,-4.468,1.907,2.471
12.836,-47.672,-4.43,1.741,2.474
12.835,-47.671,-4.434,1.812,2.47
12.835,-47.671,-4.02,2.086,2.472
12.842,-47.677,-4.252,1.695,2.472
12.844,-47.675,-4.464,1.977,2.469
12.84,-47.671,-4.27,1.895,2.471
12.839,-47.678,-4.452,1.585,2.471
12.84,-47.676,-4.5,1.84,2.473
12.839,-47.673,-4.287,1.75,2.472
12.84,-47.674,-4.169,1.915,2.472
12.84,-47.673,-4.073,1.896,2.472
12.84,-47.675,-4.19,1.857,2.471
12.84,-47.673,-4.158,1.872,2.474
12.841,-47.674,-4.283,1.783,2.472
12.841,-47.671,-3.738,1.969,2.471
12.841,-47.67,-4.049,1.879,2.472
12.841,-47.668,-4.282,1.714,2.473
12.841,-47.67,-4.099,1.826,2.47
12.841,-47.669,-4,1.956,2.472
12.842,-47.667,-4.514,1.673,2.472
12.839,-47.662,-4.389,1.881,2.471
12.841,-47.667,-4.111,1.798,2.474
12.841,-47.665,-4.283,1.709,2.472
12.84,-47.664,-3.71,1.999,2.473
12.844,-47.672,-3.431,1.567,2.472
15.2,-48.829,50.996,-0.026,2.472
15.217,-48.831,51.224,-0.003,2.474
15.217,-48.832,51.308,-0.006,2.473
15.217,-48.83,51.406,-0.009,2.473
15.217,-48.83,51.525,-0.013,2.472
15.215,-48.83,51.644,-0.013,2.472
15.213,-48.829,51.808,-0.018,2.471
15.207,-48.824,52.174,-0.016,2.472
15.209,-48.817,52.273,-0.012,2.472
15.211,-48.808,52.443,-0.018,2.47
15.205,-48.81,52.635,-0.018,2.471
15.195,-48.812,52.891,-0.013,2.474
15.196,-48.811,52.955,-0.002,2.473
15.196,-48.808,52.95,-0.003,2.473
15.198,-48.808,52.968,-0.005,2.47
15.2,-48.809,53.018,-0.008,2.473
15.203,-48.811,53.152,-0.013,2.47
15.204,-48.812,53.266,0,2.471
15.206,-48.811,53.266,0,2.472
15.21,-48.81,53.266,0,2.473
15.213,-48.81,53.295,-0.003,2.473
15.217,-48.811,53.4,-0.011,2.473
15.219,-48.805,53.63,-0.014,2.473
15.219,-48.795,53.786,-0.015,2.474
15.218,-48.781,53.904,-0.011,2.471
15.215,-48.759,54.033,-0.014,2.475
15.209,-48.732,54.223,-0.026,2.473
15.192,-48.679,54.603,-0.029,2.471
15.165,-48.613,54.974,-0.032,2.471
15.134,-48.557,55.38,-0.048,2.47
15.084,-48.443,55.893,-0.026,2.473
15.068,-48.36,56.085,-0.016,2.471
15.036,-48.209,56.234,-0.013,2.472
15,-48.101,56.699,-0.061,2.47
14.902,-47.911,59.134,-0.11,2.475
14.874,-47.846,60.31,-0.1,2.471
14.863,-47.751,61.522,-0.073,2.474
14.866,-47.658,62.677,-0.085,2.473
14.866,-47.607,63.505,-0.068,2.47
14.857,-47.572,63.974,-0.04,2.471
14.846,-47.552,64.094,-0.004,2.474
14.83,-47.55,63.752,0.019,2.471
14.822,-47.586,63.346,0.033,2.472
14.81,-47.631,62.933,0.041,2.471
14.783,-47.688,62.291,0.056,2.473
14.721,-47.739,61.518,0.048,2.473
14.659,-47.747,60.897,0.06,2.473
14.603,-47.739,60.127,0.084,2.47
14.55,-47.724,59.178,0.099,2.471
14.504,-47.713,58.233,0.082,2.471
14.437,-47.719,57.28,0.039,2.47
14.405,-47.728,56.977,0.033,2.473
14.339,-47.729,56.162,0.06,2.474
14.277,-47.737,55.375,0.034,2.472
14.244,-47.736,54.952,0.037,2.473
14.197,-47.72,54.479,0.036,2.472
14.142,-47.706,54.057,0.031,2.471
14.107,-47.696,53.809,0.024,2.472
14.052,-47.671,53.557,0.022,2.471
13.993,-47.632,53.145,0.034,2.474
13.928,-47.593,52.532,0.039,2.473
13.884,-47.572,52.203,0.016,2.472
13.851,-47.559,52.028,0.012,2.471
13.841,-47.556,51.947,0.009,2.472
13.838,-47.55,51.723,0.015,2.473
13.839,-47.551,51.587,0.014,2.471
13.842,-47.551,51.441,0.016,2.472
13.842,-47.553,51.354,0,2.475
13.836,-47.555,51.363,0,2.468
13.827,-47.551,51.298,0.013,2.472
13.811,-47.541,51.085,0.02,2.473
13.799,-47.536,50.925,0.021,2.473
13.766,-47.532,50.605,0.021,2.472
13.743,-47.53,50.263,0.021,2.473
13.752,-47.525,49.965,0.012,2.472
13.764,-47.518,49.808,0.022,2.473
13.775,-47.514,49.683,0.011,2.47
13.787,-47.512,49.507,0.01,2.471
13.797,-47.511,49.393,0.014,2.47
13.808,-47.508,49.246,0.014,2.47
13.818,-47.501,49.066,0.006,2.473
13.819,-47.493,48.976,0.007,2.472
13.82,-47.49,48.915,0.007,2.472
13.822,-47.488,48.867,0.003,2.473
13.822,-47.487,48.775,0.012,2.47
13.822,-47.486,48.521,0.018,2.472
13.824,-47.483,48.31,0.028,2.472
13.838,-47.478,47.934,0.017,2.472
13.844,-47.472,47.651,0.031,2.472
13.85,-47.474,47.261,0.02,2.472
13.858,-47.475,47.076,0.016,2.472
13.869,-47.477,47.006,0,2.472
13.87,-47.477,47.015,0,2.472
13.87,-47.477,46.991,0.001,2.471
13.869,-47.474,46.965,0.004,2.47
13.867,-47.468,46.886,0.008,2.471
13.866,-47.464,46.772,0.009,2.471
13.866,-47.466,46.715,0.002,2.472
13.868,-47.467,46.702,0.001,2.474
13.87,-47.467,46.65,0.007,2.473
13.872,-47.466,46.571,0.013,2.474
13.878,-47.464,46.397,0.015,2.471
13.883,-47.467,46.297,0.004,2.471
13.884,-47.472,46.328,-0.003,2.469
13.884,-47.475,46.341,-0.001,2.47
13.885,-47.478,46.345,-0.002,2.47
13.885,-47.478,46.345,0,2.472
13.885,-47.481,46.365,-0.001,2.474
13.884,-47.482,46.352,0.002,2.472
13.885,-47.484,46.347,0.002,2.474
13.885,-47.484,46.347,0,2.474
13.885,-47.484,46.323,0.005,2.473
13.884,-47.486,46.297,0.003,2.473
13.884,-47.49,46.264,0.006,2.469
13.885,-47.496,46.199,0.006,2.47
13.885,-47.501,46.153,0.001,2.469
13.886,-47.501,46.115,0.007,2.471
13.886,-47.5,46.067,0.006,2.471
13.885,-47.498,45.988,0.005,2.472
13.885,-47.498,45.973,0.004,2.475
13.884,-47.497,45.903,0.011,2.472
13.883,-47.494,45.7,0.023,2.471
13.882,-47.492,45.379,0.018,2.472
13.881,-47.493,45.197,0.019,2.472
13.878,-47.494,44.887,0.026,2.472
13.875,-47.494,44.568,0.03,2.472
13.875,-47.492,44.315,0.033,2.471
13.878,-47.49,43.866,0.039,2.473
13.879,-47.486,43.317,0.043,2.472
13.876,-47.483,42.821,0.05,2.472
13.876,-47.478,42.34,0.057,2.471
13.875,-47.473,41.792,0.063,2.475
13.878,-47.465,40.985,0.072,2.471
13.882,-47.456,39.513,0.066,2.472
13.882,-47.457,39.198,0.063,2.469
13.879,-47.456,38.214,0.069,2.473
13.879,-47.453,37.305,0.083,2.473
13.879,-47.455,36.556,0.085,2.473
13.88,-47.459,35.8,0.071,2.47
13.881,-47.466,34.142,0.088,2.472
13.881,-47.465,33.377,0.1,2.471
13.881,-47.464,32.957,0.106,2.472
13.88,-47.459,31.758,0.109,2.472
13.88,-47.456,30.671,0.099,2.471
13.88,-47.452,29.338,0.083,2.471
13.881,-47.446,27.969,0.057,2.473
13.88,-47.444,27.371,0.059,2.472
13.881,-47.448,26.85,0.053,2.471
13.882,-47.453,25.913,0.052,2.472
13.881,-47.45,25.293,0.062,2.47
13.882,-47.444,24.585,0.066,2.475
13.888,-47.437,23.734,0.057,2.473
13.893,-47.437,22.959,0.051,2.47
13.893,-47.438,22.536,0.064,2.47
13.893,-47.438,22.052,0.067,2.472
13.897,-47.438,21.244,0.076,2.473
13.91,-47.432,19.362,0.079,2.472
13.92,-47.425,18.274,0.056,2.47
13.925,-47.423,18.034,0.052,2.472
13.932,-47.424,17.377,0.043,2.469
13.931,-47.424,16.891,0.049,2.474
13.933,-47.424,16.349,0.039,2.471
13.934,-47.428,15.968,0.041,2.472
13.934,-47.423,15.614,0.041,2.472
13.933,-47.42,15.064,0.039,2.472
13.932,-47.418,14.414,0.048,2.472
13.933,-47.421,13.917,0.047,2.472
13.936,-47.425,13.11,0.05,2.471
13.944,-47.423,12.313,0.049,2.472
13.95,-47.421,11.639,0.06,2.472
13.949,-47.425,11.106,0.048,2.47
13.95,-47.419,10.228,0.055,2.472
13.953,-47.415,9.677,0.053,2.472
13.958,-47.414,9.174,0.05,2.473
13.964,-47.412,8.72,0.052,2.473
13.965,-47.411,7.987,0.064,2.47
13.966,-47.412,7.268,0.058,2.472
13.971,-47.41,6.495,0.037,2.469
13.972,-47.41,5.837,0.048,2.473
13.966,-47.409,5.015,0.065,2.473
13.967,-47.409,3.767,0.065,2.471
13.976,-47.406,2.45,0.078,2.473
13.977,-47.408,1.389,0.078,2.47
13.977,-47.41,0.728,0.193,2.471
13.978,-47.414,0.371,0.277,2.472
13.978,-47.416,0.345,0.269,2.471
13.979,-47.422,0.238,0.316,2.47
13.979,-47.425,-0.095,0.447,2.471
13.979,-47.432,-0.486,0.578,2.471
13.981,-47.438,-0.691,0.646,2.473
13.981,-47.44,-0.834,0.699,2.472
13.981,-47.439,-1.126,0.808,2.472
13.981,-47.439,-1.439,0.926,2.471
13.981,-47.441,-1.778,1.044,2.471
13.981,-47.44,-2.042,1.129,2.474
13.98,-47.437,-2.269,1.215,2.472
13.979,-47.435,-2.766,1.4,2.472
13.979,-47.436,-3.473,1.644,2.471
13.98,-47.438,-3.737,1.729,2.472
13.977,-47.437,-4.065,1.845,2.472
13.969,-47.433,-4.564,2.025,2.472
13.965,-47.432,-5.037,2.208,2.473
13.966,-47.432,-5.531,2.385,2.471
13.978,-47.433,-6.075,2.542,2.47
13.994,-47.427,-6.139,2.538,2.472
13.999,-47.425,-6.143,2.54,2.471
14.004,-47.422,-6.076,2.506,2.472
14.002,-47.422,-5.991,2.48,2.471
13.996,-47.423,-5.843,2.409,2.472
13.984,-47.425,-5.01,2.051,2.473
13.984,-47.428,-3.976,1.64,2.473
13.996,-47.433,-2.048,0.904,2.469
14.018,-47.44,0.038,0.161,2.474
14.018,-47.479,3.37,-0.143,2.473
13.982,-47.51,5.297,-0.179,2.47
13.954,-47.54,7.327,-0.203,2.47
13.936,-47.573,9.445,-0.194,2.469
13.923,-47.602,10.961,-0.169,2.473
13.897,-47.641,13.216,-0.138,2.473
13.881,-47.653,14.41,-0.094,2.472
13.857,-47.664,15.451,-0.065,2.473
13.831,-47.672,15.881,-0.026,2.472
13.813,-47.678,16.219,-0.041,2.474
13.784,-47.696,17.099,-0.086,2.472
13.703,-47.719,19.188,-0.109,2.47
13.619,-47.714,20.38,-0.077,2.472
13.552,-47.707,21.006,-0.073,2.472
13.462,-47.697,21.651,-0.071,2.472
13.346,-47.694,22.293,-0.063,2.473
13.218,-47.696,22.901,-0.063,2.471
13.015,-47.686,23.695,-0.049,2.473
12.881,-47.67,24.207,-0.046,2.472
12.748,-47.652,24.76,-0.049,2.471
12.589,-47.623,25.526,-0.034,2.473
12.501,-47.595,25.715,-0.004,2.47
12.423,-47.564,25.711,-0.003,2.471
12.388,-47.549,25.726,-0.001,2.47
12.354,-47.538,25.887,-0.018,2.471
12.314,-47.523,26.036,-0.006,2.474
12.289,-47.514,26.068,0,2.473
12.266,-47.5,26.051,0.001,2.472
12.257,-47.495,26.056,0,2.471
12.237,-47.485,26.059,-0.002,2.474
12.206,-47.475,26.127,-0.004,2.469
12.177,-47.473,26.12,0.002,2.472
12.145,-47.473,26.096,0.002,2.47
12.102,-47.478,26.133,-0.005,2.472
12.066,-47.48,26.21,-0.005,2.472
12.05,-47.477,26.249,-0.006,2.473
12.029,-47.471,26.291,-0.002,2.471
12.006,-47.461,26.203,0.013,2.472
11.995,-47.455,26.134,0.019,2.473
11.965,-47.447,26.051,-0.006,2.472
11.953,-47.448,26.137,-0.012,2.472
11.941,-47.446,26.242,-0.013,2.471
11.927,-47.439,26.323,-0.007,2.47
11.904,-47.428,26.325,0.005,2.473
11.882,-47.426,26.339,-0.003,2.471
11.864,-47.434,26.523,-0.017,2.472
11.862,-47.436,26.839,-0.033,2.471
11.861,-47.436,27.084,-0.037,2.471
11.832,-47.437,27.689,-0.025,2.472
11.796,-47.433,28.023,-0.021,2.474
11.773,-47.427,28.175,-0.016,2.472
11.75,-47.422,28.31,-0.014,2.471
11.718,-47.424,28.58,-0.025,2.472
11.695,-47.433,28.883,-0.032,2.472
11.669,-47.452,29.27,-0.031,2.471
11.646,-47.466,29.536,-0.017,2.472
11.627,-47.474,29.627,-0.009,2.471
11.6,-47.483,29.687,-0.009,2.473
11.588,-47.495,29.821,-0.018,2.475
11.58,-47.508,29.963,-0.007,2.47
11.564,-47.506,30.031,0,2.473
11.554,-47.494,29.976,0.01,2.472
11.549,-47.486,29.935,0.012,2.472
11.54,-47.459,29.695,0.025,2.47
11.535,-47.431,29.369,0.029,2.472
11.535,-47.411,29.144,0.027,2.47
11.536,-47.396,28.983,0.016,2.473
11.527,-47.382,28.903,-0.002,2.472
11.519,-47.386,28.922,-0.003,2.472
11.514,-47.394,29.02,-0.011,2.471
11.514,-47.403,29.125,-0.012,2.472
11.511,-47.437,29.438,-0.019,2.472
11.508,-47.458,29.627,-0.02,2.474
11.504,-47.482,29.845,-0.01,2.471
11.501,-47.489,29.953,-0.009,2.471
11.492,-47.497,30.12,-0.019,2.471
11.484,-47.506,30.251,-0.02,2.471
11.466,-47.517,30.455,-0.023,2.472
11.445,-47.527,30.69,-0.024,2.473
11.423,-47.533,31.033,-0.033,2.473
11.396,-47.533,31.386,-0.026,2.474
11.37,-47.532,31.657,-0.022,2.471
11.344,-47.533,31.935,-0.028,2.472
11.321,-47.529,32.276,-0.023,2.471
11.307,-47.527,32.502,-0.019,2.472
11.275,-47.519,32.896,-0.015,2.472
11.253,-47.513,32.964,-0.003,2.472
11.222,-47.504,32.95,0.001,2.469
11.193,-47.491,32.86,0.006,2.475
11.171,-47.479,32.778,0.007,2.473
11.149,-47.465,32.69,0.006,2.473
11.126,-47.452,32.609,0.003,2.473
11.105,-47.447,32.579,-0.001,2.47
11.095,-47.455,32.645,-0.007,2.472
11.095,-47.46,32.651,0.002,2.471
11.095,-47.46,32.621,0.002,2.474
11.097,-47.45,32.593,0,2.472
11.098,-47.448,32.586,0.002,2.474
11.096,-47.429,32.439,0.015,2.473
11.091,-47.411,32.278,0.021,2.472
11.074,-47.382,32.046,0.024,2.473
11.062,-47.359,31.872,0.021,2.473
11.037,-47.325,31.621,0.021,2.471
10.996,-47.294,31.451,0.013,2.472
10.929,-47.264,31.308,0.012,2.471
10.844,-47.213,31.011,0.021,2.472
10.786,-47.179,30.813,0.013,2.472
10.733,-47.152,30.651,0.011,2.473
10.677,-47.139,30.203,0.026,2.474
10.663,-47.142,29.995,0.022,2.471
10.661,-47.142,29.753,0.028,2.474
10.661,-47.143,29.554,0.02,2.472
10.662,-47.157,29.62,-0.018,2.47
10.657,-47.177,29.814,-0.013,2.472
10.64,-47.213,30.014,-0.015,2.472
10.625,-47.234,30.156,-0.018,2.473
10.588,-47.267,30.411,-0.017,2.473
10.557,-47.282,30.588,-0.011,2.474
10.536,-47.282,30.667,-0.004,2.472
10.506,-47.274,30.615,0.009,2.471
10.504,-47.275,30.194,0.04,2.472
10.52,-47.283,29.915,0.032,2.474
10.541,-47.288,29.683,0.021,2.472
10.57,-47.286,29.561,-0.002,2.47
10.598,-47.274,29.52,0.006,2.474
10.6,-47.27,29.508,0.005,2.472
10.599,-47.262,29.401,0.012,2.476
10.595,-47.254,29.315,0.011,2.473
10.583,-47.243,29.26,0.003,2.473
10.563,-47.238,29.275,0,2.473
