z_pen,force_z
83.559,-0.001633
83.538,-0.001633
83.538,-0.001633
83.538,-0.001633
83.517,-0.001633
83.517,-0.001633
83.503,-0.001633
83.503,-0.001633
83.482,-0.001633
83.482,-0.001633
83.461,-0.001633
83.44,-0.001633
83.426,-0.001633
83.426,-0.001633
83.405,-0.0015255
83.405,-0.0015255
83.384,-0.0015255
83.384,-0.0015255
83.363,-0.0015255
83.363,-0.0015255
83.342,-0.0015255
83.328,-0.0015255
83.307,-0.0015255
83.265,-0.0015255
83.244,-0.0015255
83.244,-0.0015255
83.23,-0.0015255
83.23,-0.0015255
83.209,-0.0015255
83.188,-0.0015255
83.188,-0.0015255
83.167,-0.0015255
83.167,-0.0015255
83.146,-0.00145275
83.146,-0.00145275
83.132,-0.00145275
83.132,-0.00145275
83.111,-0.00145275
83.09,-0.00145275
83.069,-0.00145275
83.069,-0.00145275
83.041,-0.00145275
83.041,-0.00145275
83.02,-0.00145275
83.02,-0.00145275
82.999,-0.00145275
82.985,-0.00145275
82.964,-0.00145275
82.943,-0.00145275
82.943,-0.00145275
82.922,-0.00145275
82.901,-0.00145275
82.901,-0.00145275
82.88,-0.00145275
82.88,-0.00145275
82.859,-0.00145275
82.859,-0.00145275
82.859,-0.00145275
82.831,-0.00145275
82.831,-0.00145275
82.81,-0.00145275
82.789,-0.00145275
82.789,-0.00145275
82.768,-0.00145275
82.747,-0.00145275
82.747,-0.00145275
82.726,-0.00145275
82.726,-0.00145275
82.698,-0.00145275
82.698,-0.00145275
82.698,-0.00145275
82.649,-0.0007507
82.621,-0.0007507
82.6,-0.0007507
82.579,-0.0007507
82.579,-0.0007507
82.558,-0.0007507
82.558,-0.0007507
82.537,-0.0007507
82.537,-0.0007507
82.516,-0.0007507
82.516,-0.0007507
82.481,-0.0007507
82.481,-0.0007507
82.46,-0.0007507
82.46,-0.0007507
82.439,-0.0007507
82.404,-0.0007507
82.404,-0.0007507
82.383,-0.0007507
82.383,-0.0007507
82.362,-0.0007507
82.327,-0.0007507
82.327,-0.0007507
82.306,-0.0007507
82.306,-0.0007507
82.285,-0.0007507
82.285,-0.0007507
82.25,-0.0007507
82.25,-0.0007507
82.229,-0.0007507
82.194,-0.0007507
82.194,-0.0007507
82.173,-0.0007507
82.145,-0.0007507
82.145,-0.0007507
82.117,-0.0007507
82.117,-0.0007507
82.089,-0.0007507
82.089,-0.0007507
82.054,-0.0007507
82.054,-0.0007507
82.033,-0.0007507
82.033,-0.0007507
81.998,-0.0007507
81.998,-0.0007507
81.977,-0.0007507
81.977,-0.0007507
